,claim,truth_value,source
0,Provocation and Disinformation Overview,meter-false,vox-ukraine
1,"In Ukraine, the theft and homicide levels rose due to power outages",meter-false,vox-ukraine
2,Ukrainians beat two Berlin residents for speaking in russian,meter-false,vox-ukraine
3,A quote from Paul Goebbels about the Banderites,meter-false,vox-ukraine
4,The “Culture of good neighborliness” course for Ukrainian schoolchildren promotes gender and sexual orientation change,meter-false,vox-ukraine
5,US research in Ukraine led to an increase in the incidence of tick-borne borreliosis in Ukraine and an increase in the number of ticks in russia,meter-false,vox-ukraine
6,"In Chile, the law on the rights of “mutants” and genetically modified people has been approved – Ostap Stakhiv",meter-false,vox-ukraine
7,The COVID-19 incidence rate became zero in late May 2022,meter-false,vox-ukraine
8,"The risk of death among children vaccinated against COVID-19 is 52 times greater, says ONS",meter-false,vox-ukraine
9,Provocation and Disinformation Overview,meter-false,vox-ukraine
10,"In Ukraine, the theft and homicide levels rose due to power outages",meter-false,vox-ukraine
11,Ukrainians beat two Berlin residents for speaking in russian,meter-false,vox-ukraine
12,A quote from Paul Goebbels about the Banderites,meter-false,vox-ukraine
13,The “Culture of good neighborliness” course for Ukrainian schoolchildren promotes gender and sexual orientation change,meter-false,vox-ukraine
14,US research in Ukraine led to an increase in the incidence of tick-borne borreliosis in Ukraine and an increase in the number of ticks in russia,meter-false,vox-ukraine
15,"In Chile, the law on the rights of “mutants” and genetically modified people has been approved – Ostap Stakhiv",meter-false,vox-ukraine
16,The COVID-19 incidence rate became zero in late May 2022,meter-false,vox-ukraine
17,"The risk of death among children vaccinated against COVID-19 is 52 times greater, says ONS",meter-false,vox-ukraine
18,Provocation and Disinformation Overview,meter-false,vox-ukraine
19,"In Ukraine, the theft and homicide levels rose due to power outages",meter-false,vox-ukraine
20,Ukrainians beat two Berlin residents for speaking in russian,meter-false,vox-ukraine
21,A quote from Paul Goebbels about the Banderites,meter-false,vox-ukraine
22,The “Culture of good neighborliness” course for Ukrainian schoolchildren promotes gender and sexual orientation change,meter-false,vox-ukraine
23,US research in Ukraine led to an increase in the incidence of tick-borne borreliosis in Ukraine and an increase in the number of ticks in russia,meter-false,vox-ukraine
24,"In Chile, the law on the rights of “mutants” and genetically modified people has been approved – Ostap Stakhiv",meter-false,vox-ukraine
25,The COVID-19 incidence rate became zero in late May 2022,meter-false,vox-ukraine
26,"The risk of death among children vaccinated against COVID-19 is 52 times greater, says ONS",meter-false,vox-ukraine
27,Provocation and Disinformation Overview,meter-false,vox-ukraine
28,"In Ukraine, the theft and homicide levels rose due to power outages",meter-false,vox-ukraine
29,Ukrainians beat two Berlin residents for speaking in russian,meter-false,vox-ukraine
30,A quote from Paul Goebbels about the Banderites,meter-false,vox-ukraine
31,The “Culture of good neighborliness” course for Ukrainian schoolchildren promotes gender and sexual orientation change,meter-false,vox-ukraine
32,US research in Ukraine led to an increase in the incidence of tick-borne borreliosis in Ukraine and an increase in the number of ticks in russia,meter-false,vox-ukraine
33,"In Chile, the law on the rights of “mutants” and genetically modified people has been approved – Ostap Stakhiv",meter-false,vox-ukraine
34,The COVID-19 incidence rate became zero in late May 2022,meter-false,vox-ukraine
35,"The risk of death among children vaccinated against COVID-19 is 52 times greater, says ONS",meter-false,vox-ukraine
36,Provocation and Disinformation Overview,meter-false,vox-ukraine
