,claim,truth_value,year_of_publish,month_of_publish,day_of_publish
0,"“Putin humiliatingly blows up all weapons and facilities"" on Snake Island by retreating Russian troops.",meter-mostly-false,2022,July,2
1,"U.S. imports 1% of its oil from Russia while “Exxon, Chevron, BP and Shell profits are at their highest level in over 7 years.”",meter-mostly-true,2022,March,7
2,"The United States buys ""206,000 barrels of oil a day"" from Russia but ""shut down domestic oil production a year ago.""",meter-mostly-false,2022,February,19
3,"""The Russians are violating all of the rules, treaties, understandings that they committed to that actually kept the peace in Europe for nearly 70 years.""",meter-mostly-true,2019,November,13
4,"""Barack Obama put a permanent stop on this military aid to the Ukraine - he never allowed it to go.""",meter-mostly-false,2019,October,21
5,"""Europe and other nations (need to) contribute to Ukraine. Because they’re not doing it. Just the United States. We’re putting up the bulk of the money.""",meter-mostly-false,2019,September,24
6,"Crimea ""was sort of taken away from President Obama. … And he wanted Russia to be out of what was called the G-8. And that was his determination.""",meter-mostly-false,2019,August,26
7,"""The son-in-law of the president met with Russian officials at the Trump Tower after having them come in the back door.""",meter-mostly-true,2017,March,3
8,"Russia and China are ""doing naval exercises together someplace.""",meter-mostly-true,2016,August,1
9,"Says Hillary Clinton ""was literally present when we pressed the reset button with Russia just a few months after Russia had invaded Georgia.""",meter-mostly-true,2016,July,3
10,"""We lock up close to 2.4 million people in this country. We're locking up more people than China and Russia.""",meter-mostly-true,2015,December,2
11,"Russia and China ""absolutely said pretty clearly"" they would not keep economic sanctions on Iran if the United States ""walked away from the deal.""",meter-mostly-true,2015,July,27
12,"""The entirety of North America -- Canada, the United States and Mexico -- there's more known reserves in those three countries than in Russia and Saudi Arabia.""",meter-mostly-false,2015,May,7
13,"Russia ""has an economy the size of Italy.""",meter-mostly-true,2014,July,27
14,"After Russia went to war with Georgia in 2008, the U.S. sent a ""very strong message"" to Vladimir Putin by sending ""warships to the Black Sea"" and airlifting ""combat troops that Georgia had in Afghanistan"" back to Georgia.",meter-mostly-false,2014,March,16
15,"""The Russians didn’t wear uniforms when they came in"" to Ukraine.",meter-mostly-true,2014,March,3
16,"In the event of a U.S. strike on Syria, ""the Russians will replace the weapons immediately. They’ve said it on the record. They’ve suggested they might even replace it with better stuff.""",meter-mostly-false,2013,September,7
17,Says Romney called Russia our No. 1 enemy.,meter-mostly-true,2012,September,6
18,"""We're going to have more troops (in Afghanistan) . . . than the Russians had.""",meter-mostly-false,2009,December,2
19,"“As the world rallies around Ukraine, Mike Lee was one of only two senators to oppose sanctions on Putin. Then he flew to the Kremlin and discussed dropping sanctions. Lee even opposed arming Ukrainians fighting for their lives.”",meter-mostly-false,2022,March,6
20,"""I have been much tougher on Russia than Obama, just look at the facts. Total Fake News!""",meter-mostly-false,2018,February,20
21,"Says Barack Obama found out about Russia ""in August. Now, the election was in November. That's a lot of time. He did nothing about it.""",meter-mostly-false,2017,July,6
22,"Says the Obama administration invited ""Russia into Syria.""",meter-mostly-false,2015,December,15
23,“We have doubled our (oil) imports from Russia in the last year.”,meter-mostly-false,2022,February,22
24,"Say President Donald Trump ""dictated a short but accurate response to the New York Times article"" about the Trump Tower meeting with Russians.",meter-mostly-false,2018,January,29
25,"""We know this now. The banks no longer loan (Donald Trump) money because he's a terrible risk. So he goes to these (Russian) oligarchs and borrows money.""",meter-mostly-false,2016,July,27
