,claim,truth_value,year_of_publish,month_of_publish,day_of_publish
0,"Italian former Premier Silvio Berlusconi has once again put himself at odds with current Premier Giorgia Meloni by openly criticizing her for meeting with Ukraine’s leader, whom he blamed for the nearly year-old Russian invasion",meter-true,2023,February,13
1,"Former Premier Silvio Berlusconi has once again put himself at odds with Premier Giorgia Meloni by openly criticizing her for meeting with Ukraine’s leader, whom he blamed for the year-old Russian invasion",meter-true,2023,February,13
2,The small coal-mining town of Vuhledar on Ukraine’s eastern front line has emerged as a critical hot spot in the fight for Donetsk province,meter-true,2023,February,11
3,"Amid inflation, power-grid cuts and other pressures applied by Russia and spilling over from the war in Ukraine, Moldova’s government resigned Friday.",meter-true,2023,February,11
4,President Joe Biden will travel to Poland later this month to rally allies a year after Russia’s assault on Ukraine began,meter-true,2023,February,11
5,Fierce battles in eastern Ukraine have thrown a new spotlight on a private Russian military group led by a rogue millionaire with longtime links to Russia’s President Vladimir Putin,meter-true,2023,January,28
6,Efforts to build Kyiv military capacity are both about the current fight and what comes after,meter-true,2023,January,25
7,U.S. troops will teach Ukrainian forces how to use the Patriot missile defense system at Fort Sill. The training could start as soon as next week.,meter-true,2023,January,10
8,"The Russian private mercenary group now has 40,000 convicts in battle, taken directly from Russian prisons, U.S. officials say.",meter-true,2022,December,22
9,Russian President Vladimir Putin said there was no need to mobilize more soldiers now.,meter-true,2022,December,8
10,Snubs in recent months from Kazakhstan to Tajikistan mark a regional realignment that will only sharpen as sanctions and isolation erode Russia's economic power. ,meter-true,2022,November,30
11,Abandoned pets roam the streets of ruined front-line towns and villages.,meter-true,2022,November,24
12,Moscow and Tehran have agreed on a plan to assemble Iranian-designed weapons on Russian soil.,meter-true,2022,November,19
13,"Since Vladimir Putin’s invasion of Ukraine, a torrent of Russians have arrived in Dubai — seeking refuge from military mobilization and international sanctions.",meter-true,2022,November,17
14,Gen. Mark Milley has drawn scrutiny for suggesting that winter may present Ukraine an opportunity to explore a peace deal with Russia.,meter-true,2022,November,17
15,NATO Secretary General Jens Stoltenberg said Wednesday that the explosion in Poland on Tuesday that claimed two lives was probably caused by a Ukrainian missile defending against Russian attack.,meter-true,2022,November,16
16,"At the G-20 in Bali and COP27 in Egypt, Russia has found itself in an unusual position — a leading topic of discussion rather than a leading player.",meter-true,2022,November,16
17,"The Polish government said a Russian-made missile fell into the village of Przewodów, about five miles from the Ukrainian border.",meter-true,2022,November,15
18,"The Group of 20, a club of nations that was founded to tackle the 2008 financial crisis, is desperately seeking a second act.",meter-true,2022,November,13
19,Ukrainian delegates hope their presence at COP27 will keep the war fresh in people's minds and spark broader discussions about the world's reliance on fossil fuels.,meter-true,2022,November,10
20,"U.S. monitors have inspected just 10 percent of high-risk weapons sent to Ukraine, as the Biden administration launches new measures to stop arms smuggling.",meter-true,2022,November,1
21,"Businessman Oleg Tinkov, who publicly criticized Russia's invasion in February, said he “can’t and won’t be associated with a fascist country.” ",meter-true,2022,November,1
22,"Strikes were reported in Kyiv, Kharkiv, Zaporizhzhia and other regions days after drone strikes damaged Russian warships off the coast of Crimea.",meter-true,2022,October,31
23,"Yevgeniy Prigozhin, the Russian tycoon behind mercenary group Wagner, personally told Vladimir Putin that military chiefs are mismanaging the war, U.S. officials said.",meter-true,2022,October,25
24,"As Europe has turned angrily against Moscow's war in Ukraine, Russian digital nomads have flocked to Cyprus, bringing a new buzz to a longstanding expat community.",meter-true,2022,October,23
25,One of the Islamic State’s newest branches is fueling a brutal conflict that has been raging in northern Mozambique for five years — and this insurgency has global implications.,meter-true,2022,October,20
26,The increased flow of weapons could help offset steep Russian weapons losses and provide precision-guided munitions like those used in strikes in Ukraine last week.,meter-true,2022,October,16
27,Kyiv region was hit by drone strikes as NATO defense ministers met in Brussels. Russia's Vladimir Putin met with Turkey’s Recep Tayyip Erdogan in Kazakhstan.,meter-true,2022,October,13
28,"The nature and tempo of the war have changed in recent weeks, as Ukraine’s forces score victories and Russia retaliates as Putin is backed into a corner. ",meter-true,2022,October,11
29,Information about dissent in Vladimir Putin's inner circle was deemed significant enough that it was included in President Biden’s daily intelligence briefing.,meter-true,2022,October,7
30,"The Russian president seems to have a tight grip on power but as military setbacks pile up, there is new speculation about who might want the Kremlin's top job",meter-true,2022,October,6
31,A billionaire’s half-baked tweet shows the insidious influence of Russian propaganda.,meter-true,2022,October,4
32,Marina Ovsyannikova made international headlines after protesting the war in Ukraine live on state television in March. ,meter-true,2022,October,4
33,"Russian President Vladimir Putin announced the illegal annexation of the Donetsk, Luhansk, Kherson and Zaporizhzhia regions at a ceremony in Moscow. ",meter-true,2022,September,30
34,And one way the staged procedures don’t change anything.,meter-true,2022,September,28
35,"Vladimir Putin is working to destroy the old international order. Xi Jinping is looking to build a new one, with China at its center. ",meter-true,2022,September,16
36,"Moscow may look normal after six months of war, but the fissures run deeper.",meter-true,2022,September,8
37,Inside a Moscow-affiliated church located at the center of American democracy.,meter-true,2022,September,6
38,"Russia’s Defense Ministry is preparing to buy “millions of rockets and artillery shells” from North Korea as it runs low on weapons in Ukraine, U.S. intelligence says. ",meter-true,2022,September,6
39,Poland loves coal. But Russia's invasion of Ukraine is pushing Polish citizens to embrace green measures because the shift will free them from Russian fossil fuels.,meter-true,2022,September,6
40,"“My nervous system is calming down,” said a Ukrainian soldier who lost a leg to shrapnel. “I no longer have nightmares.”",meter-true,2022,September,2
41,The Black Sea peninsula has returned to the spotlight with Russia's invasion of Ukraine and recent blasts at an ammunition depot and air base there.,meter-true,2022,August,18
42,"A Washington Post examination of the road to war in Ukraine, and Western efforts to unite to thwart the Kremlin’s plans, draws on extensive interviews with more than three dozen senior U.S., Ukrainian, European and NATO officials.",meter-true,2022,August,16
43,The country's military is seeking to regain territory along the Black Sea coast.,meter-true,2022,August,12
44,Russia’s occupation of eastern Ukraine has given it control over some of the most mineral-rich lands in Europe. ,meter-true,2022,August,10
45,"Ukraine officials stopped short of claiming credit for the attacks on a base in Russian-controlled territory, which would mark a dramatic escalation in the war.",meter-true,2022,August,10
46,"French President Emmanuel Macron visited Cameroon this week, calling the entire continent out for “hypocrisy."" The leader’s remarks showed a sharp contrast with those of another current visitor to the continent: Russian Foreign Minister Sergey Lavrov. ",meter-true,2022,July,28
47,"That puts civilians at risk, research shows",meter-true,2022,July,27
48,"Daria Kasatkina, Russia’s highest-ranked women's tennis player, took a stand on LGBTQ rights and the war in Ukraine in an interview.",meter-true,2022,July,20
49,The ultimate outcome of this bloody conflict remains uncertain.,meter-true,2022,July,20
50,The victims struggle to cope with stigma and shame. ,meter-true,2022,July,13
51,The Pentagon announced a new shipment of four multiple-launch rocket systems to Ukraine as part of a $400 million package that also included additional ammunition and other supplies.,meter-true,2022,July,8
52,Officials in previous conflicts often eluded concerns whether success was sustainable.,meter-true,2022,July,2
53,"Caught in a price squeeze for both oil and fish, thousands of ""chippy"" shops could go out of business this year in Britain. ",meter-true,2022,July,2
54,"More than 7 million Somalis face acute food insecurity, with almost 250,000 at risk of imminent starvation. ",meter-true,2022,June,30
