,claim
999,"As president, Donald Trump “marshaled the full power of government to stop deadly drugs, opioids, and fentanyl from coming into our country. As a result, drug overdose deaths declined nationwide for the first time in nearly 30 years."""
1005,“The Virginia GOP education agenda (would) erase slavery from VA history.”
1023,“We finally achieved that energy independence… under the Trump administration. President Biden squandered (it) away.”
1048,“Lifeguard/football player Joe Biden got five draft deferments for asthma during Vietnam.”
1051,"""Democrats' radical green energy policies caused record gas prices. """
1063,"“Democrats are voting to add an army of 87,000 IRS agents who will target middle class taxpayers and conduct at least 1 million more audits each year. ”"
1070,"The cancellation of the Keystone XL pipeline by Joe Biden “killed hundreds of jobs, sent gas prices way up.”"
1075,"“Putin humiliatingly blows up all weapons and facilities"" on Snake Island by retreating Russian troops."
1098,"""David Perdue voted with liberals” for $10 trillion “in new debt, his out-of-control federal spending is driving inflation through the roof."""
1103,"“When unemployment goes down, inflation goes up.”"
1104,“Finland joins NATO.”
1106,"The Biden administration has been ""recklessly releasing potentially dangerous Afghans into our communities."""
1107,"""Kari Lake has been appearing at rallies with neo-Nazis,"" while ""two federal juries have found"" Katie Hobbs ""guilty of racial discrimination."""
1143,"“The Space Foundation has erased the honors previously bestowed on Yuri Gagarin, the first man to ever be in space. His name was stripped ‘in light of current events.’”"
1144,"In 1975, then-U.S. Sen. Joe Biden opposed efforts by President Gerald Ford to aid South Vietnam and evacuate refugees."
1145,"""David McCormick fired Pennsylvanians and bragged about shipping their jobs to Asia."""
1146,Gas prices are high “due to the Democrats’ war on fossil fuels.”
1156,"Mo Brooks ""voted to cut off funding to destroy ISIS terrorists in the middle of the fight."""
1175,"""Donald Trump's appeasement of Putin wasn't just a personal act of treason, it's the Republican Party's official position."""
1190,“NEW: Biden Admin. instructs Americans to social distance and wear masks in the event of a Nuclear Fallout.”
1194,“NATO (under direction from the United States) is violating previous agreements and expanding eastward.”
1195,"The United States buys ""206,000 barrels of oil a day"" from Russia but ""shut down domestic oil production a year ago."""
1213,"“Every 37 seconds, someone is arrested for possession of marijuana.”"
1216,“People are 7% poorer now because of Biden inflation.”
1218,"""Japan drops all vaxxine mandates, places myocarditis warning on label."""
1220,"Actions by Joe Biden left ""10,000 - 15,000 American citizens abandoned to terrorists in Afghanistan."""
1227,The Build Back Better bill provides “'parole' amnesty for millions of criminal illegal aliens.”
1231,“Greenland's ice sheet isn't shrinking any more rapidly today than it was 80 years ago.”
1240,"The government pays out ""$2,125/month in refugee benefits to refugees resettled in the United States,"" while Social Security recipients “who have paid into the system their whole lives receive $1,400/month on average."""
1243,"“Democrats are responsible for the massive spending and debt growth, they alone need to take responsibility for raising the debt limit.”"
1250,"The U.S. left the Taliban an “arsenal” in Afghanistan, including 358,530 assault rifles and 22,174 Humvees."
1255,Former President Donald Trump “was blocked from getting troops out of (Afghanistan) by Liz Cheney and others.”
1256,Says “31 U.S. troops” were “killed in Afghanistan yesterday.”
1259,“Joe Biden is on a two-week vacation. Kamala Harris has been nonexistent since Inauguration Day. Jen Psaki is taking a break from her duties as press secretary for one week.”
1266,"“We know most of our forefathers, all of our main Founding Fathers were against slavery, recognized the evils of it.”"
1269,Says people are moving to Milwaukee “in record numbers”
1274,Says withdrawing troops from Afghanistan could save the U.S. $50 billion.
1283,Caitlyn Jenner “literally killed someone 6 years ago in the streets and was released by a District Attorney.”
1293,“New information coming in that Boulder shooter was a Syrian refugee who arrived via Obama-era asylum programs.”
1295,Says Joe Biden “will redirect the $30 billion” that Donald Trump “left for U.S. farmers to ‘climate change.’”
1298,“Donald Trump is the first president in modern history (who) did not start a new war.”
1300,“The U.S. Senate cannot convict a former President.”
1302,"“Last year, Pennsylvania elected officials passed a whole new law that allows universal mail-in balloting, and did it irregardless of what the Pennsylvania Constitution said.”"
1303,"Voting machines didn’t work in heavily GOP areas for the Georgia runoff elections, leaving some voters unable to cast ballots."
1307,"“40 years of research, and no vaccine for HIV. At least 100 years of research and no vaccine for cancer. Ongoing research and no vaccine for the common cold. Now in less than a year, there's a vaccine for COVID-19?”"
1309,“No state in the country verifies United States citizenship as a condition for voting in federal elections.”
1310,"Says Raphael Warnock defended the “hatred” of Jeremiah Wright, the pastor who said “not God bless America, God damn America,” and gave Wright “an award for truth telling.”"
1314,"In the plot to kidnap Michigan Gov. Gretchen Whitmer, “the perps were ANTIFA and BLM anarchists.”"
1330,“President Trump marshalled the full resources of our federal government from the outset. He directed us to forge a seamless partnership with governors across America in both political parties.”
1335,Says series of 11 photos are “from the 1918 flu pandemic.”
1343,“We're setting record job numbers.”
1353,"Says Donald Trump used farmers’ struggles “to push through a multi-billion dollar bailout program that was nothing more than a handout for large agricultural companies."""
1354,Says “Joe Biden supported the Castro regime and meeting with Maduro.”
1362,Says Robert E. Lee opposed slavery and secession and has come to symbolize both slavery and secession.
1372,"“Sweden has zero lockdown” and “is in no worse shape than Denmark or Norway,” which are in lockdown."
