,claim,year_of_publish,month_of_publish,day_of_publish,truth_value,Unnamed: 0
0,"In Ukraine, the theft and homicide levels rose due to power outages",2022,november,30,meter-false,
1,Ukrainians beat two Berlin residents for speaking in russian,2022,november,30,meter-false,
2,A quote from Paul Goebbels about the Banderites,2022,november,30,meter-false,
3,The “Culture of good neighborliness” course for Ukrainian schoolchildren promotes gender and sexual orientation change,2022,november,30,meter-false,
4,US research in Ukraine led to an increase in the incidence of tick-borne borreliosis in Ukraine and an increase in the number of ticks in russia,2022,september,22,meter-false,
5,"In Chile, the law on the rights of “mutants” and genetically modified people has been approved – Ostap Stakhiv",2022,september,22,meter-false,
6,The COVID-19 incidence rate became zero in late May 2022,2022,september,22,meter-false,
7,"The risk of death among children vaccinated against COVID-19 is 52 times greater, says ONS",2022,september,22,meter-false,
8,Provocation and Disinformation Overview,2023,february,20,meter-false,
9,"In Ukraine, the theft and homicide levels rose due to power outages",2022,november,30,meter-false,
10,Ukrainians beat two Berlin residents for speaking in russian,2022,november,30,meter-false,
11,A quote from Paul Goebbels about the Banderites,2022,november,30,meter-false,
12,The “Culture of good neighborliness” course for Ukrainian schoolchildren promotes gender and sexual orientation change,2022,november,30,meter-false,
13,US research in Ukraine led to an increase in the incidence of tick-borne borreliosis in Ukraine and an increase in the number of ticks in russia,2022,september,22,meter-false,
14,"In Chile, the law on the rights of “mutants” and genetically modified people has been approved – Ostap Stakhiv",2022,september,22,meter-false,
15,The COVID-19 incidence rate became zero in late May 2022,2022,september,22,meter-false,
16,"The risk of death among children vaccinated against COVID-19 is 52 times greater, says ONS",2022,september,22,meter-false,
17,Provocation and Disinformation Overview,2023,february,20,meter-false,
18,"In Ukraine, the theft and homicide levels rose due to power outages",2022,november,30,meter-false,
19,Ukrainians beat two Berlin residents for speaking in russian,2022,november,30,meter-false,
20,A quote from Paul Goebbels about the Banderites,2022,november,30,meter-false,
21,The “Culture of good neighborliness” course for Ukrainian schoolchildren promotes gender and sexual orientation change,2022,november,30,meter-false,
22,US research in Ukraine led to an increase in the incidence of tick-borne borreliosis in Ukraine and an increase in the number of ticks in russia,2022,september,22,meter-false,
23,"In Chile, the law on the rights of “mutants” and genetically modified people has been approved – Ostap Stakhiv",2022,september,22,meter-false,
24,The COVID-19 incidence rate became zero in late May 2022,2022,september,22,meter-false,
25,"The risk of death among children vaccinated against COVID-19 is 52 times greater, says ONS",2022,september,22,meter-false,
26,Provocation and Disinformation Overview,2023,february,20,meter-false,
27,"In Ukraine, the theft and homicide levels rose due to power outages",2022,november,30,meter-false,
28,Ukrainians beat two Berlin residents for speaking in russian,2022,november,30,meter-false,
29,A quote from Paul Goebbels about the Banderites,2022,november,30,meter-false,
30,The “Culture of good neighborliness” course for Ukrainian schoolchildren promotes gender and sexual orientation change,2022,november,30,meter-false,
31,US research in Ukraine led to an increase in the incidence of tick-borne borreliosis in Ukraine and an increase in the number of ticks in russia,2022,september,22,meter-false,
32,"In Chile, the law on the rights of “mutants” and genetically modified people has been approved – Ostap Stakhiv",2022,september,22,meter-false,
33,The COVID-19 incidence rate became zero in late May 2022,2022,september,22,meter-false,
34,"The risk of death among children vaccinated against COVID-19 is 52 times greater, says ONS",2022,september,22,meter-false,
35,Provocation and Disinformation Overview,2023,february,20,meter-false,
36,"In Ukraine, the theft and homicide levels rose due to power outages",2022,november,30,meter-false,
37,Ukrainians beat two Berlin residents for speaking in russian,2022,november,30,meter-false,
38,A quote from Paul Goebbels about the Banderites,2022,november,30,meter-false,
39,The “Culture of good neighborliness” course for Ukrainian schoolchildren promotes gender and sexual orientation change,2022,november,30,meter-false,
40,US research in Ukraine led to an increase in the incidence of tick-borne borreliosis in Ukraine and an increase in the number of ticks in russia,2022,september,22,meter-false,
41,"In Chile, the law on the rights of “mutants” and genetically modified people has been approved – Ostap Stakhiv",2022,september,22,meter-false,
42,The COVID-19 incidence rate became zero in late May 2022,2022,september,22,meter-false,
43,"The risk of death among children vaccinated against COVID-19 is 52 times greater, says ONS",2022,september,22,meter-false,
44,Provocation and Disinformation Overview,2023,february,20,meter-false,
45,"In Ukraine, the theft and homicide levels rose due to power outages",2022,november,30,meter-false,
46,Ukrainians beat two Berlin residents for speaking in russian,2022,november,30,meter-false,
47,A quote from Paul Goebbels about the Banderites,2022,november,30,meter-false,
48,The “Culture of good neighborliness” course for Ukrainian schoolchildren promotes gender and sexual orientation change,2022,november,30,meter-false,
49,US research in Ukraine led to an increase in the incidence of tick-borne borreliosis in Ukraine and an increase in the number of ticks in russia,2022,september,22,meter-false,
50,"In Chile, the law on the rights of “mutants” and genetically modified people has been approved – Ostap Stakhiv",2022,september,22,meter-false,
51,The COVID-19 incidence rate became zero in late May 2022,2022,september,22,meter-false,
52,"The risk of death among children vaccinated against COVID-19 is 52 times greater, says ONS",2022,september,22,meter-false,
53,Provocation and Disinformation Overview,2023,february,20,meter-false,
54,"In Ukraine, the theft and homicide levels rose due to power outages",2022,november,30,meter-false,
55,Ukrainians beat two Berlin residents for speaking in russian,2022,november,30,meter-false,
56,A quote from Paul Goebbels about the Banderites,2022,november,30,meter-false,
57,The “Culture of good neighborliness” course for Ukrainian schoolchildren promotes gender and sexual orientation change,2022,november,30,meter-false,
58,US research in Ukraine led to an increase in the incidence of tick-borne borreliosis in Ukraine and an increase in the number of ticks in russia,2022,september,22,meter-false,
59,"In Chile, the law on the rights of “mutants” and genetically modified people has been approved – Ostap Stakhiv",2022,september,22,meter-false,
60,The COVID-19 incidence rate became zero in late May 2022,2022,september,22,meter-false,
61,"The risk of death among children vaccinated against COVID-19 is 52 times greater, says ONS",2022,september,22,meter-false,
62,Provocation and Disinformation Overview,2023,february,20,meter-false,
63,"In Ukraine, the theft and homicide levels rose due to power outages",2022,november,30,meter-false,
64,Ukrainians beat two Berlin residents for speaking in russian,2022,november,30,meter-false,
65,A quote from Paul Goebbels about the Banderites,2022,november,30,meter-false,
66,The “Culture of good neighborliness” course for Ukrainian schoolchildren promotes gender and sexual orientation change,2022,november,30,meter-false,
67,US research in Ukraine led to an increase in the incidence of tick-borne borreliosis in Ukraine and an increase in the number of ticks in russia,2022,september,22,meter-false,
68,"In Chile, the law on the rights of “mutants” and genetically modified people has been approved – Ostap Stakhiv",2022,september,22,meter-false,
69,The COVID-19 incidence rate became zero in late May 2022,2022,september,22,meter-false,
70,"The risk of death among children vaccinated against COVID-19 is 52 times greater, says ONS",2022,september,22,meter-false,
71,Provocation and Disinformation Overview,2023,february,20,meter-false,
72,"In Ukraine, the theft and homicide levels rose due to power outages",2022,november,30,meter-false,
73,Ukrainians beat two Berlin residents for speaking in russian,2022,november,30,meter-false,
74,A quote from Paul Goebbels about the Banderites,2022,november,30,meter-false,
75,The “Culture of good neighborliness” course for Ukrainian schoolchildren promotes gender and sexual orientation change,2022,november,30,meter-false,
76,US research in Ukraine led to an increase in the incidence of tick-borne borreliosis in Ukraine and an increase in the number of ticks in russia,2022,september,22,meter-false,
77,"In Chile, the law on the rights of “mutants” and genetically modified people has been approved – Ostap Stakhiv",2022,september,22,meter-false,
78,The COVID-19 incidence rate became zero in late May 2022,2022,september,22,meter-false,
79,"The risk of death among children vaccinated against COVID-19 is 52 times greater, says ONS",2022,september,22,meter-false,
80,Provocation and Disinformation Overview,2023,february,20,meter-false,
81,"In Ukraine, the theft and homicide levels rose due to power outages",2022,november,30,meter-false,
82,Ukrainians beat two Berlin residents for speaking in russian,2022,november,30,meter-false,
83,A quote from Paul Goebbels about the Banderites,2022,november,30,meter-false,
84,The “Culture of good neighborliness” course for Ukrainian schoolchildren promotes gender and sexual orientation change,2022,november,30,meter-false,
85,US research in Ukraine led to an increase in the incidence of tick-borne borreliosis in Ukraine and an increase in the number of ticks in russia,2022,september,22,meter-false,
86,"In Chile, the law on the rights of “mutants” and genetically modified people has been approved – Ostap Stakhiv",2022,september,22,meter-false,
87,The COVID-19 incidence rate became zero in late May 2022,2022,september,22,meter-false,
88,"The risk of death among children vaccinated against COVID-19 is 52 times greater, says ONS",2022,september,22,meter-false,
89,Provocation and Disinformation Overview,2023,february,20,meter-false,
90,"In Ukraine, the theft and homicide levels rose due to power outages",2022,november,30,meter-false,
91,Ukrainians beat two Berlin residents for speaking in russian,2022,november,30,meter-false,
92,A quote from Paul Goebbels about the Banderites,2022,november,30,meter-false,
93,The “Culture of good neighborliness” course for Ukrainian schoolchildren promotes gender and sexual orientation change,2022,november,30,meter-false,
94,US research in Ukraine led to an increase in the incidence of tick-borne borreliosis in Ukraine and an increase in the number of ticks in russia,2022,september,22,meter-false,
95,"In Chile, the law on the rights of “mutants” and genetically modified people has been approved – Ostap Stakhiv",2022,september,22,meter-false,
96,The COVID-19 incidence rate became zero in late May 2022,2022,september,22,meter-false,
97,"The risk of death among children vaccinated against COVID-19 is 52 times greater, says ONS",2022,september,22,meter-false,
98,Provocation and Disinformation Overview,2023,february,20,meter-false,
99,"In Ukraine, the theft and homicide levels rose due to power outages",2022,november,30,meter-false,
100,Ukrainians beat two Berlin residents for speaking in russian,2022,november,30,meter-false,
101,A quote from Paul Goebbels about the Banderites,2022,november,30,meter-false,
102,The “Culture of good neighborliness” course for Ukrainian schoolchildren promotes gender and sexual orientation change,2022,november,30,meter-false,
103,US research in Ukraine led to an increase in the incidence of tick-borne borreliosis in Ukraine and an increase in the number of ticks in russia,2022,september,22,meter-false,
104,"In Chile, the law on the rights of “mutants” and genetically modified people has been approved – Ostap Stakhiv",2022,september,22,meter-false,
105,The COVID-19 incidence rate became zero in late May 2022,2022,september,22,meter-false,
106,"The risk of death among children vaccinated against COVID-19 is 52 times greater, says ONS",2022,september,22,meter-false,
107,Provocation and Disinformation Overview,2023,february,20,meter-false,
