,claim,truth_value,year_of_publish,month_of_publish,day_of_publish
0,Russia’s Army was “destroyed.”,meter-false,2022,December,18
1,The war in Ukraine is “all over.”,meter-false,2022,December,12
2,“Gas prices are down back to where they were before Russia invaded Ukraine.”,meter-true,2022,November,29
3,"Images of a woman having bloody makeup applied show ""fake combatant photos” in Ukraine.",meter-false,2022,November,27
4,U.S. tax dollars sent to help Ukraine were laundered back by cryptocurrency firm FTX to help Democrats in midterms.,meter-false,2022,November,13
5,"President Joe Biden and Democrats ""send a fortune to Ukraine but nothing for our children.""",tom_ruling_pof,2022,November,2
6,“Ukraine has a nuclear bomb primed in Mykolaiv.”,meter-false,2022,October,20
7,Video clips show staged war footage from Ukraine.,tom_ruling_pof,2022,October,22
8,A CNN headline shows Uganda’s president saying he doesn’t support Ukraine because it would be “disgusting.”,meter-false,2022,October,22
9,North Korea has taken military action against Russia.,tom_ruling_pof,2022,October,8
10,“The Russian army has surrendered in Donetsk!”,meter-false,2022,September,28
11,"“North Korea sent more than 100,000 troops to Russia for the Ukraine War!”",meter-false,2022,September,28
12,“Chinese military convoy enters Ukraine from Russia.”,meter-false,2022,September,18
13,"""Russia is becoming the first country to break ties with the Antarctic Treaty.""",tom_ruling_pof,2022,September,12
14,Russia “has not lost anything” in its invasion of Ukraine.,meter-false,2022,September,7
15,“The Russian army is withdrawing from Ukraine!” in September 2022,meter-false,2022,September,3
16,“US Army in Ukraine.”,meter-false,2022,August,17
17,"“Putin humiliatingly blows up all weapons and facilities"" on Snake Island by retreating Russian troops.",meter-mostly-false,2022,July,2
18,Video shows Russian artillery tanks “completely destroyed by Bayraktar TB2 drones” on July 2.,meter-false,2022,July,3
19,Video shows Ukrainian soldiers shooting down Russian helicopters.,meter-false,2022,June,29
20,"With the $53 billion spent in Ukraine aid, the U.S. “could pay five SWAT members $80,000 each and have them at EVERY school front door.”",meter-half-true,2022,May,26
21,Video shows “Russian desert base and infrastructure hit by Bayraktar TB2 drone.”,meter-false,2022,May,23
22,“J.D. Vance profits off Russia propaganda.”,meter-half-true,2022,May,10
23,Video shows a “Russian pilot” escaping from jets and a Russian aircraft getting hit by a missile.,meter-false,2022,May,22
24,Video shows “Russian tank column totally destroyed by attack helicopter.”,meter-false,2022,May,19
25,Video shows helicopters in Ukraine “being picked off in ambush - Short range air-to-air missile”,meter-false,2022,May,18
26,“Soldiers destroyed Russian tank with NLAW in ambush.”,meter-false,2022,May,18
27,A recent photo shows the “Russian Orthodox Church blessing a rocket called Satan.”,meter-false,2022,May,13
28,"Says video shows ""Ukrainian forces shoot down Russian plane carrying hundreds (of) troops on Kyiv airport.""",meter-false,2022,May,5
29,“Space X’s Starlink internet constellation has angered Russia as it was reported that the Starlink satellite constellation was used to guide the fire” on the Russian ship Moskva.,meter-false,2022,April,30
30,"“War Begins — F-35, F-16 and MiG-29 NATO intercept and destroy Russia Jets in Polish air space.”",meter-false,2022,April,27
31,Photo of unbroken windows proves war in Ukraine is fake.,tom_ruling_pof,2022,April,23
32,Videos show that Ukraine President Volodymyr Zelenskyy uses cocaine.,tom_ruling_pof,2022,April,23
33,A video shows the Russian warship Moskva exploding.,meter-false,2022,April,14
34,"""America (is) trying to overthrow the Ukraine government just as the shadow government has infiltrated and overthrown the US government.""",meter-false,2022,April,16
35,"After Russia invaded Ukraine, Google Maps “opened all military and strategic facilities in Russia.”",meter-false,2022,April,18
36,"Vladimir Putin “released 35,000 children from tunnels and subway in Ukraine.”",tom_ruling_pof,2022,April,16
37,CNN tweeted about “brave children” in Ukraine signing up to fight Russia.,tom_ruling_pof,2022,April,15
38,Ukraine was responsible for the Kramatorsk train station bombing.,meter-false,2022,April,13
39,Photo of injured Ukrainian woman was from 2018 Russia gas explosion.,meter-false,2022,February,27
40,"Says Barack Obama tweeted, “Has anyone checked to make sure Donald Trump doesn’t have a Russian birth certificate?”",meter-false,2022,April,2
41,"A video taken from a car driving through Bucha, Ukraine, shows a corpse “moving his arm,” and then “in the rear view mirror the ‘corpse’ sits down.”",meter-false,2022,April,3
42,Will Smith slapped Chris Rock “to take attention away from Ukraine.”,meter-false,2022,March,28
43,The United Nations sent out an email instructing staff not to use the words “invasion” or “war’” when referring to Ukraine.,meter-half-true,2022,March,17
44,“The Simpsons” predicted Russia’s invasion of Ukraine.,meter-false,2022,March,5
45,CNN tweeted a picture of a Serbian resort and said it was in Ukraine.,meter-false,2022,March,21
46,"The Russian airstrike on a maternity hospital in Mariupol, Ukraine, had “the makings of yet another false flag operation” led by the U.S.",tom_ruling_pof,2022,March,11
47,“Ukraine has been shooting residents of Donetsk and Lugansk just because they wanted to speak Russian.”,meter-false,2022,March,20
48,Russian President Vladimir Putin “was assassinated.”,tom_ruling_pof,2022,March,19
49,"“Just a reminder that right before Ukraine was invaded, Hillary was found to be guilty of spying on a sitting U.S. president.”",meter-false,2022,March,14
50,“Putin Vows to ‘Crush’ Child Traffickers in Ukraine”,meter-false,2022,March,2
51,"""What is happening here is not so different from what we're seeing happening in Russia, where you have got state TV and controlled messaging across the board.""",tom_ruling_pof,2022,March,15
52,“A West Virginia inspection sticker on an Uber” proves the car was not in Ukraine.,meter-false,2022,March,13
53,"A recent on-air protest can’t be real because ""there are no live on air television broadcasts in Russia. None. Ever.”",meter-false,2022,March,15
54,A video shows current “leaked footage of heavy war between Russia vs Ukraine”,meter-false,2022,March,15
55,“Wladimir Klitschko has auctioned off his 1996 Atlanta Olympic Games gold medal to raise money for the children of Ukraine.”,meter-half-true,2022,March,14
56,"Classified documents from Ukraine “confirm without a shadow of a doubt” that the Ukraine government was “covertly preparing an offensive operation against Donbas, scheduled for March 2022.”",meter-false,2022,March,9
57,A Ukrainian combat medic who died in February was seen in a video Ukraine President Volodymyr Zelensky posted of his visit to see wounded soldiers.,meter-false,2022,March,13
58,This video shows “Russian war in Ukraine.”,meter-false,2022,March,7
59,"U.S. imports 1% of its oil from Russia while “Exxon, Chevron, BP and Shell profits are at their highest level in over 7 years.”",meter-mostly-true,2022,March,7
60,"Two years ago we were “drilling our own oil for $27 a barrel.” Now, thanks to Joe Biden, we’re “paying $105 a barrel to Russia.”",meter-false,2022,March,6
61,Video shows Russian President Vladimir Putin meeting with South Korea’s president.,meter-false,2022,March,6
62,"""Ukrainian civilian fleeing Kyiv captures footage of downed Russian tie fighter.""",meter-false,2022,March,2
63,A Ukrainian TikToker shows how to drive an abandoned Russian armored vehicle.,meter-false,2022,February,28
64,The war in Ukraine is “scripted and staged.”,tom_ruling_pof,2022,February,25
65,Joe Biden's sanctions on Russia “are riddled with loopholes and don't even start for 30 days. They have carve outs for the energy and financial sectors.”,meter-half-true,2022,March,1
66,Says Sean Penn’s trip to Ukraine in November is evidence the war is staged.,meter-false,2022,February,28
67,"""The Russian army does not occupy Ukrainian territory.""",tom_ruling_pof,2022,March,1
68,Photos show Ukrainian citizens destroying two Russian tanks with Molotov cocktails in Kyiv.,meter-false,2022,February,26
69,Video shows Ukrainian soldiers saying goodbye to loved ones amid Russia’s 2022 invasion.,meter-false,2022,March,25
70,A photo of a wounded young child was captured in Ukraine in 2022.,meter-false,2022,February,24
71,"The United States buys ""206,000 barrels of oil a day"" from Russia but ""shut down domestic oil production a year ago.""",meter-mostly-false,2022,February,19
72,Video shows footage from Russia invading Ukraine.,meter-false,2022,February,24
73,TikTok video shows Russian soldiers parachuting into Ukraine.,meter-false,2022,February,24
74,Ethnic Russians face “genocide perpetrated by the Kyiv regime.”,meter-false,2022,February,24
75,"This ""footage"" shows Russia attacking Ukraine.",meter-false,2022,February,24
76,"""Ukraine was the No. 1 donor to Hillary Clinton when she was running for president.”",meter-false,2022,February,19
77,“Russia has never attacked anyone throughout its history.”,tom_ruling_pof,2022,February,20
78,"Says Joe Biden risks war with Russia because Vladimir Putin doesn’t “believe in transgender rights.""",tom_ruling_pof,2022,February,19
79,"Says Joe Biden is “withholding $150 million in aid from Ukraine” to “pressure Ukraine to drop all criminal investigations into him and his son, Hunter.”",meter-false,2021,April,12
80,Says Joe Biden is formally listed as criminal suspect in Ukraine case involving his son.,meter-false,2020,July,22
81,"Says President Barack Obama ""signed the medical appliance tax bill that forced companies to outsource manufacturing of masks, gowns, gloves and ventilaors [sic] to China, Europe and Russia to avoid the tax.”",tom_ruling_pof,2020,April,23
82,"Says Bill Clinton ""gave nukes to North Korea,"" Barack Obama ""gave nukes to Iran,"" and Hillary Clinton ""gave uranium to Russia.""",meter-false,2019,December,29
83,"Says former Ukraine President Petro Poroshenko ""actively worked for Secretary Clinton.""",meter-false,2019,December,1
84,"""Everywhere Marie Yovanovitch went turned bad,"" including Somalia and Ukraine.",tom_ruling_pof,2019,November,15
85,"""The Russians are violating all of the rules, treaties, understandings that they committed to that actually kept the peace in Europe for nearly 70 years.""",meter-mostly-true,2019,November,13
86,"""Barack Obama put a permanent stop on this military aid to the Ukraine - he never allowed it to go.""",meter-mostly-false,2019,October,21
87,"""Europe and other nations (need to) contribute to Ukraine. Because they’re not doing it. Just the United States. We’re putting up the bulk of the money.""",meter-mostly-false,2019,September,24
88,"Crimea ""was sort of taken away from President Obama. … And he wanted Russia to be out of what was called the G-8. And that was his determination.""",meter-mostly-false,2019,August,26
89,"When Joe Biden’s son Hunter was serving as ""a director to Ukraine’s largest private gas producer,"" the elder Biden ""threatened to withhold $1 BILLION in U.S. aid to Ukraine if they didn’t fire a prosecutor looking into"" the gas company.",meter-half-true,2019,May,2
90,"""The reason Russia was in Afghanistan was because terrorists were going into Russia.""",tom_ruling_pof,2019,January,2
91,"""Russia, Iran, Syria & many others are not happy"" about U.S. troops leaving Syria.",meter-false,2018,December,20
92,"""The Russian state has never interfered ... into internal American affairs including election process.""",tom_ruling_pof,2018,July,16
93,"Says Bernie Sanders was indifferent to Russia's annexation of Crimea because he felt ""they have a lot of Russians anyway.""",meter-false,2018,July,8
94,"""Denzel Washington: With Trump we avoided war with Russia and Orwellian Police State""",tom_ruling_pof,2018,February,24
95,"""This is not the first time (the Russians) have been involved in our elections.""",meter-half-true,2017,June,8
96,"""The son-in-law of the president met with Russian officials at the Trump Tower after having them come in the back door.""",meter-mostly-true,2017,March,3
97,"Says Hillary Clinton ""went toe-to-toe with Russia as secretary of state to do the New START agreement to reduce Russia's nuclear stockpile.""",meter-half-true,2016,October,4
98,"Says New START, passed while Clinton was secretary of state, is a ""treaty cutting Russia’s nuclear arms.""",meter-half-true,2016,September,9
99,"Russia and China are ""doing naval exercises together someplace.""",meter-mostly-true,2016,August,1
100,"Says Hillary Clinton ""was literally present when we pressed the reset button with Russia just a few months after Russia had invaded Georgia.""",meter-mostly-true,2016,July,3
101,"""We lock up close to 2.4 million people in this country. We're locking up more people than China and Russia.""",meter-mostly-true,2015,December,2
102,"Russia and China ""absolutely said pretty clearly"" they would not keep economic sanctions on Iran if the United States ""walked away from the deal.""",meter-mostly-true,2015,July,27
103,"""The entirety of North America -- Canada, the United States and Mexico -- there's more known reserves in those three countries than in Russia and Saudi Arabia.""",meter-mostly-false,2015,May,7
104,"Russia ""has an economy the size of Italy.""",meter-mostly-true,2014,July,27
105,"In the Georgia-Russia conflict, ""we flew a brigade of Georgian soldiers"" from Iran to Georgia and ""sent U.S. ships into the Black Sea and provided various kinds of supplies.""",meter-half-true,2014,May,18
106,"The United States stopped plans to build a missile defense shield in Eastern Europe ""as a gift to Russia.""",meter-half-true,2014,March,23
107,"After Russia went to war with Georgia in 2008, the U.S. sent a ""very strong message"" to Vladimir Putin by sending ""warships to the Black Sea"" and airlifting ""combat troops that Georgia had in Afghanistan"" back to Georgia.",meter-mostly-false,2014,March,16
108,"Says she made an ""accurate prediction"" that if Barack Obama were elected it would encourage Russia to invade Ukraine.",meter-half-true,2014,February,28
109,"""The Russians didn’t wear uniforms when they came in"" to Ukraine.",meter-mostly-true,2014,March,3
110,"""Crimea became part of Ukraine only in 1954. Crimea was historically part of Russia, and (Nikita) Khrushchev gave it to Ukraine in a gesture that mystified some people.""",meter-true,2014,March,2
111,"Crimea was part of Russia ""until 1954, when it was given to the Soviet Republic of the Ukraine.""",meter-true,2014,March,2
112,"In the event of a U.S. strike on Syria, ""the Russians will replace the weapons immediately. They’ve said it on the record. They’ve suggested they might even replace it with better stuff.""",meter-mostly-false,2013,September,7
113,"""A few months ago when you were asked what's the biggest geopolitical threat facing America, you said Russia.""",meter-half-true,2012,October,22
114,"The Obama administration ""called Bashar Assad a reformer when he was turning his Russian-provided guns on his own people.""",meter-half-true,2012,October,11
115,Says Romney called Russia our No. 1 enemy.,meter-mostly-true,2012,September,6
116,"""Obama tells Russia that he'll turn over America's defense system to them if re-elected.""",tom_ruling_pof,2012,March,26
117,"""We're going to have more troops (in Afghanistan) . . . than the Russians had.""",meter-mostly-false,2009,December,2
118,"The Russian airstrike on a maternity hospital in Mariupol, Ukraine, had “the makings of yet another false flag operation” led by the U.S.",tom_ruling_pof,2022,March,11
119,"“As the world rallies around Ukraine, Mike Lee was one of only two senators to oppose sanctions on Putin. Then he flew to the Kremlin and discussed dropping sanctions. Lee even opposed arming Ukrainians fighting for their lives.”",meter-mostly-false,2022,March,6
120,A photo of a wounded young child was captured in Ukraine in 2022.,meter-false,2022,February,24
121,"""Not once in his entire career in Washington, D.C., which started way back in 1991, has Democratic Socialist Bernie Sanders ever voted yes on sanctions against Russia.""",meter-half-true,2020,February,22
122,"""Russia, Iran, Syria & many others are not happy"" about U.S. troops leaving Syria.",meter-false,2018,December,20
123,"""I have been much tougher on Russia than Obama, just look at the facts. Total Fake News!""",meter-mostly-false,2018,February,20
124,"""I never said Russia did not meddle in the election.""",tom_ruling_pof,2018,February,18
125,"Says Russian President Vladimir Putin said Pope Francis ""is not a man of God.""",tom_ruling_pof,2017,August,5
126,"Says Barack Obama found out about Russia ""in August. Now, the election was in November. That's a lot of time. He did nothing about it.""",meter-mostly-false,2017,July,6
127,"""If Russia, or some other entity, was hacking, why did the White House wait so long to act? Why did they only complain after Hillary lost?""",tom_ruling_pof,2016,December,15
128,"Says the Obama administration invited ""Russia into Syria.""",meter-mostly-false,2015,December,15
129,"Says American polling shows Russian President Vladimir Putin has ""an 80 percent approval rating.""",meter-true,2015,December,20
130,"The United States stopped plans to build a missile defense shield in Eastern Europe ""as a gift to Russia.""",meter-half-true,2014,March,23
131,"Says she made an ""accurate prediction"" that if Barack Obama were elected it would encourage Russia to invade Ukraine.",meter-half-true,2014,February,28
132,"In the event of a U.S. strike on Syria, ""the Russians will replace the weapons immediately. They’ve said it on the record. They’ve suggested they might even replace it with better stuff.""",meter-mostly-false,2013,September,7
133,"""A few months ago when you were asked what's the biggest geopolitical threat facing America, you said Russia.""",meter-half-true,2012,October,22
134,"The Obama administration ""called Bashar Assad a reformer when he was turning his Russian-provided guns on his own people.""",meter-half-true,2012,October,11
135,Says Romney called Russia our No. 1 enemy.,meter-mostly-true,2012,September,6
136,The war in Ukraine is “all over.”,meter-false,2022,December,12
137,U.S. tax dollars sent to help Ukraine were laundered back by cryptocurrency firm FTX to help Democrats in midterms.,meter-false,2022,November,13
138,"Photo shows “Russian soldiers with a Ukrainian girl, celebrating their human trophy.”",meter-false,2022,October,25
139,“The Russian army has surrendered in Donetsk!”,meter-false,2022,September,28
140,"“North Korea sent more than 100,000 troops to Russia for the Ukraine War!”",meter-false,2022,September,28
141,“The Russian army is withdrawing from Ukraine!” in September 2022,meter-false,2022,September,3
142,"“Putin humiliatingly blows up all weapons and facilities"" on Snake Island by retreating Russian troops.",meter-mostly-false,2022,July,2
143,"“War Begins — F-35, F-16 and MiG-29 NATO intercept and destroy Russia Jets in Polish air space.”",meter-false,2022,April,27
144,The United Nations sent out an email instructing staff not to use the words “invasion” or “war’” when referring to Ukraine.,meter-half-true,2022,March,17
145,"CNN staged a fire in Edmonton, Canada, and claimed it was filmed in Ukraine.",meter-false,2022,March,28
146,"The Russian airstrike on a maternity hospital in Mariupol, Ukraine, had “the makings of yet another false flag operation” led by the U.S.",tom_ruling_pof,2022,March,11
147,"“Just a reminder that right before Ukraine was invaded, Hillary was found to be guilty of spying on a sitting U.S. president.”",meter-false,2022,March,14
148,“Putin Vows to ‘Crush’ Child Traffickers in Ukraine”,meter-false,2022,March,2
149,This video shows “Russian war in Ukraine.”,meter-false,2022,March,7
150,"U.S. imports 1% of its oil from Russia while “Exxon, Chevron, BP and Shell profits are at their highest level in over 7 years.”",meter-mostly-true,2022,March,7
151,“Putin bombs Biden-owned villa in Ukraine while hammering biolabs & pedophile rings.”,tom_ruling_pof,2022,March,2
152,"“As the world rallies around Ukraine, Mike Lee was one of only two senators to oppose sanctions on Putin. Then he flew to the Kremlin and discussed dropping sanctions. Lee even opposed arming Ukrainians fighting for their lives.”",meter-mostly-false,2022,March,6
153,A Ukrainian TikToker shows how to drive an abandoned Russian armored vehicle.,meter-false,2022,February,28
154,The war in Ukraine is “scripted and staged.”,tom_ruling_pof,2022,February,25
155,Says Sean Penn’s trip to Ukraine in November is evidence the war is staged.,meter-false,2022,February,28
156,"""The Russian army does not occupy Ukrainian territory.""",tom_ruling_pof,2022,March,1
157,"A 2022 CNN report said, “Russia deploys two nuke bombers in US backyard, Venezuela.”",meter-false,2022,February,28
158,Photos show Ukrainian citizens destroying two Russian tanks with Molotov cocktails in Kyiv.,meter-false,2022,February,26
159,Video shows Ukrainian soldiers saying goodbye to loved ones amid Russia’s 2022 invasion.,meter-false,2022,March,25
160,"""An 8-year-old Ukrainian girl confronts a Russian soldier telling him to go back to his country.”",meter-false,2022,February,27
161,“We have doubled our (oil) imports from Russia in the last year.”,meter-mostly-false,2022,February,22
162,"The United States buys ""206,000 barrels of oil a day"" from Russia but ""shut down domestic oil production a year ago.""",meter-mostly-false,2022,February,19
163,A photo showing young children saluting troops was captured in Ukraine in 2022.,meter-false,2022,February,25
164,Actor Steven Seagal spotted among Russian special forces in Ukraine,meter-false,2022,February,28
165,Video shows footage from Russia invading Ukraine.,meter-false,2022,February,24
166,TikTok video shows Russian soldiers parachuting into Ukraine.,meter-false,2022,February,24
167,A 2022 video shows “Ukrainian and Russian soldiers face to face.”,meter-false,2022,February,25
168,Ethnic Russians face “genocide perpetrated by the Kyiv regime.”,meter-false,2022,February,24
169,A photo shows a Russian warplane under attack.,meter-false,2022,February,24
170,“Russia has never attacked anyone throughout its history.”,tom_ruling_pof,2022,February,20
171,"Says Joe Biden risks war with Russia because Vladimir Putin doesn’t “believe in transgender rights.""",tom_ruling_pof,2022,February,19
172,"“Durham’s documents show that Hillary Clinton hired people who hacked into Trump’s home and office computers” and “planted evidence, fabricated evidence connecting Trump to Russia.”",meter-false,2022,February,14
173,“Biden invested the entire family fortune in Ukraine gas and oil. Then shuts down Keystone pipeline. Starting to get the picture.”,meter-false,2021,January,23
174,"""Barack Obama put a permanent stop on this military aid to the Ukraine - he never allowed it to go.""",meter-mostly-false,2019,October,21
175,"Says the sons of Nancy Pelosi, Mitt Romney and John Kerry are all on the boards of ""energy companies doing business in Ukraine.""",meter-false,2019,October,7
176,"Says Nancy Pelosi’s ""legislative aide … is from the Ukraine and is connected to the Ukrainian Embassy, the Ukrainian military, the Ukrainian government and Ukrainian party life""",meter-false,2019,October,1
177,"When Joe Biden’s son Hunter was serving as ""a director to Ukraine’s largest private gas producer,"" the elder Biden ""threatened to withhold $1 BILLION in U.S. aid to Ukraine if they didn’t fire a prosecutor looking into"" the gas company.",meter-half-true,2019,May,2
178,"""The reason Russia was in Afghanistan was because terrorists were going into Russia.""",tom_ruling_pof,2019,January,2
179,"""Russia, Iran, Syria & many others are not happy"" about U.S. troops leaving Syria.",meter-false,2018,December,20
180,"Says the Steele dossier ""was responsible for starting"" Special Counsel Robert Mueller’s investigation into links between the Trump campaign and Russia.",meter-false,2018,July,23
181,"Say President Donald Trump ""dictated a short but accurate response to the New York Times article"" about the Trump Tower meeting with Russians.",meter-mostly-false,2018,January,29
182,"""I have been much tougher on Russia than Obama, just look at the facts. Total Fake News!""",meter-mostly-false,2018,February,20
183,"Russian natural gas company ""Gazprom held Europe by the throat -- they were a monopoly, and now the U.S. is breaking into that monopoly with our exports of (liquefied natural gas).""",meter-half-true,2017,July,12
184,"""We know this now. The banks no longer loan (Donald Trump) money because he's a terrible risk. So he goes to these (Russian) oligarchs and borrows money.""",meter-mostly-false,2016,July,27
185,"Says Hillary Clinton ""was literally present when we pressed the reset button with Russia just a few months after Russia had invaded Georgia.""",meter-mostly-true,2016,July,3
186,"Says the Obama administration invited ""Russia into Syria.""",meter-mostly-false,2015,December,15
187,"Russia ""has an economy the size of Italy.""",meter-mostly-true,2014,July,27
188,"In the Georgia-Russia conflict, ""we flew a brigade of Georgian soldiers"" from Iran to Georgia and ""sent U.S. ships into the Black Sea and provided various kinds of supplies.""",meter-half-true,2014,May,18
189,"""In the last couple of days, notices were sent (by officials in Ukraine) to Jews in one city indicating that they had to identify themselves as Jews.""",meter-false,2014,April,17
190,"After Russia went to war with Georgia in 2008, the U.S. sent a ""very strong message"" to Vladimir Putin by sending ""warships to the Black Sea"" and airlifting ""combat troops that Georgia had in Afghanistan"" back to Georgia.",meter-mostly-false,2014,March,16
191,"Says she made an ""accurate prediction"" that if Barack Obama were elected it would encourage Russia to invade Ukraine.",meter-half-true,2014,February,28
192,"""Crimea became part of Ukraine only in 1954. Crimea was historically part of Russia, and (Nikita) Khrushchev gave it to Ukraine in a gesture that mystified some people.""",meter-true,2014,March,2
193,"Crimea was part of Russia ""until 1954, when it was given to the Soviet Republic of the Ukraine.""",meter-true,2014,March,2
194,"In the event of a U.S. strike on Syria, ""the Russians will replace the weapons immediately. They’ve said it on the record. They’ve suggested they might even replace it with better stuff.""",meter-mostly-false,2013,September,7
195,"The Obama administration ""called Bashar Assad a reformer when he was turning his Russian-provided guns on his own people.""",meter-half-true,2012,October,11
196,Says Romney called Russia our No. 1 enemy.,meter-mostly-true,2012,September,6
197,"""Everywhere Marie Yovanovitch went turned bad,"" including Somalia and Ukraine.",tom_ruling_pof,2019,November,15
198,The war in Ukraine is “all over.”,meter-false,2022,December,12
199,U.S. tax dollars sent to help Ukraine were laundered back by cryptocurrency firm FTX to help Democrats in midterms.,meter-false,2022,November,13
200,"Photo shows “Russian soldiers with a Ukrainian girl, celebrating their human trophy.”",meter-false,2022,October,25
201,“The Russian army has surrendered in Donetsk!”,meter-false,2022,September,28
202,"“North Korea sent more than 100,000 troops to Russia for the Ukraine War!”",meter-false,2022,September,28
203,"""Russia is becoming the first country to break ties with the Antarctic Treaty.""",tom_ruling_pof,2022,September,12
204,“The Russian army is withdrawing from Ukraine!” in September 2022,meter-false,2022,September,3
205,"“Putin humiliatingly blows up all weapons and facilities"" on Snake Island by retreating Russian troops.",meter-mostly-false,2022,July,2
206,Ukraine adopted “laws banning the Russian language.”,meter-false,2022,June,6
207,"“War Begins — F-35, F-16 and MiG-29 NATO intercept and destroy Russia Jets in Polish air space.”",meter-false,2022,April,27
208,The United Nations sent out an email instructing staff not to use the words “invasion” or “war’” when referring to Ukraine.,meter-half-true,2022,March,17
209,"CNN staged a fire in Edmonton, Canada, and claimed it was filmed in Ukraine.",meter-false,2022,March,28
210,"The Russian airstrike on a maternity hospital in Mariupol, Ukraine, had “the makings of yet another false flag operation” led by the U.S.",tom_ruling_pof,2022,March,11
211,"“Just a reminder that right before Ukraine was invaded, Hillary was found to be guilty of spying on a sitting U.S. president.”",meter-false,2022,March,14
212,“Putin Vows to ‘Crush’ Child Traffickers in Ukraine”,meter-false,2022,March,2
213,This video shows “Russian war in Ukraine.”,meter-false,2022,March,7
214,"U.S. imports 1% of its oil from Russia while “Exxon, Chevron, BP and Shell profits are at their highest level in over 7 years.”",meter-mostly-true,2022,March,7
215,“Putin bombs Biden-owned villa in Ukraine while hammering biolabs & pedophile rings.”,tom_ruling_pof,2022,March,2
216,"“As the world rallies around Ukraine, Mike Lee was one of only two senators to oppose sanctions on Putin. Then he flew to the Kremlin and discussed dropping sanctions. Lee even opposed arming Ukrainians fighting for their lives.”",meter-mostly-false,2022,March,6
217,A Ukrainian TikToker shows how to drive an abandoned Russian armored vehicle.,meter-false,2022,February,28
218,The war in Ukraine is “scripted and staged.”,tom_ruling_pof,2022,February,25
