,claim,truth_value
0,Provocation and Disinformation Overview,meter-false
1,"In Ukraine, the theft and homicide levels rose due to power outages",meter-false
2,Ukrainians beat two Berlin residents for speaking in russian,meter-false
3,A quote from Paul Goebbels about the Banderites,meter-false
4,The “Culture of good neighborliness” course for Ukrainian schoolchildren promotes gender and sexual orientation change,meter-false
5,US research in Ukraine led to an increase in the incidence of tick-borne borreliosis in Ukraine and an increase in the number of ticks in russia,meter-false
6,"In Chile, the law on the rights of “mutants” and genetically modified people has been approved – Ostap Stakhiv",meter-false
7,The COVID-19 incidence rate became zero in late May 2022,meter-false
8,"The risk of death among children vaccinated against COVID-19 is 52 times greater, says ONS",meter-false
9,Provocation and Disinformation Overview,meter-false
10,"In Ukraine, the theft and homicide levels rose due to power outages",meter-false
11,Ukrainians beat two Berlin residents for speaking in russian,meter-false
12,A quote from Paul Goebbels about the Banderites,meter-false
13,The “Culture of good neighborliness” course for Ukrainian schoolchildren promotes gender and sexual orientation change,meter-false
14,US research in Ukraine led to an increase in the incidence of tick-borne borreliosis in Ukraine and an increase in the number of ticks in russia,meter-false
15,"In Chile, the law on the rights of “mutants” and genetically modified people has been approved – Ostap Stakhiv",meter-false
16,The COVID-19 incidence rate became zero in late May 2022,meter-false
17,"The risk of death among children vaccinated against COVID-19 is 52 times greater, says ONS",meter-false
18,Provocation and Disinformation Overview,meter-false
19,"In Ukraine, the theft and homicide levels rose due to power outages",meter-false
20,Ukrainians beat two Berlin residents for speaking in russian,meter-false
21,A quote from Paul Goebbels about the Banderites,meter-false
22,The “Culture of good neighborliness” course for Ukrainian schoolchildren promotes gender and sexual orientation change,meter-false
23,US research in Ukraine led to an increase in the incidence of tick-borne borreliosis in Ukraine and an increase in the number of ticks in russia,meter-false
24,"In Chile, the law on the rights of “mutants” and genetically modified people has been approved – Ostap Stakhiv",meter-false
25,The COVID-19 incidence rate became zero in late May 2022,meter-false
26,"The risk of death among children vaccinated against COVID-19 is 52 times greater, says ONS",meter-false
27,Provocation and Disinformation Overview,meter-false
28,"In Ukraine, the theft and homicide levels rose due to power outages",meter-false
29,Ukrainians beat two Berlin residents for speaking in russian,meter-false
30,A quote from Paul Goebbels about the Banderites,meter-false
31,The “Culture of good neighborliness” course for Ukrainian schoolchildren promotes gender and sexual orientation change,meter-false
32,US research in Ukraine led to an increase in the incidence of tick-borne borreliosis in Ukraine and an increase in the number of ticks in russia,meter-false
33,"In Chile, the law on the rights of “mutants” and genetically modified people has been approved – Ostap Stakhiv",meter-false
34,The COVID-19 incidence rate became zero in late May 2022,meter-false
35,"The risk of death among children vaccinated against COVID-19 is 52 times greater, says ONS",meter-false
36,Provocation and Disinformation Overview,meter-false
37,"In Ukraine, the theft and homicide levels rose due to power outages",meter-false
38,Ukrainians beat two Berlin residents for speaking in russian,meter-false
39,A quote from Paul Goebbels about the Banderites,meter-false
40,The “Culture of good neighborliness” course for Ukrainian schoolchildren promotes gender and sexual orientation change,meter-false
41,US research in Ukraine led to an increase in the incidence of tick-borne borreliosis in Ukraine and an increase in the number of ticks in russia,meter-false
42,"In Chile, the law on the rights of “mutants” and genetically modified people has been approved – Ostap Stakhiv",meter-false
43,The COVID-19 incidence rate became zero in late May 2022,meter-false
44,"The risk of death among children vaccinated against COVID-19 is 52 times greater, says ONS",meter-false
45,Provocation and Disinformation Overview,meter-false
46,"In Ukraine, the theft and homicide levels rose due to power outages",meter-false
47,Ukrainians beat two Berlin residents for speaking in russian,meter-false
48,A quote from Paul Goebbels about the Banderites,meter-false
49,The “Culture of good neighborliness” course for Ukrainian schoolchildren promotes gender and sexual orientation change,meter-false
50,US research in Ukraine led to an increase in the incidence of tick-borne borreliosis in Ukraine and an increase in the number of ticks in russia,meter-false
51,"In Chile, the law on the rights of “mutants” and genetically modified people has been approved – Ostap Stakhiv",meter-false
52,The COVID-19 incidence rate became zero in late May 2022,meter-false
53,"The risk of death among children vaccinated against COVID-19 is 52 times greater, says ONS",meter-false
54,Provocation and Disinformation Overview,meter-false
55,"In Ukraine, the theft and homicide levels rose due to power outages",meter-false
56,Ukrainians beat two Berlin residents for speaking in russian,meter-false
57,A quote from Paul Goebbels about the Banderites,meter-false
58,The “Culture of good neighborliness” course for Ukrainian schoolchildren promotes gender and sexual orientation change,meter-false
59,US research in Ukraine led to an increase in the incidence of tick-borne borreliosis in Ukraine and an increase in the number of ticks in russia,meter-false
60,"In Chile, the law on the rights of “mutants” and genetically modified people has been approved – Ostap Stakhiv",meter-false
61,The COVID-19 incidence rate became zero in late May 2022,meter-false
62,"The risk of death among children vaccinated against COVID-19 is 52 times greater, says ONS",meter-false
63,Provocation and Disinformation Overview,meter-false
64,"In Ukraine, the theft and homicide levels rose due to power outages",meter-false
65,Ukrainians beat two Berlin residents for speaking in russian,meter-false
66,A quote from Paul Goebbels about the Banderites,meter-false
67,The “Culture of good neighborliness” course for Ukrainian schoolchildren promotes gender and sexual orientation change,meter-false
68,US research in Ukraine led to an increase in the incidence of tick-borne borreliosis in Ukraine and an increase in the number of ticks in russia,meter-false
69,"In Chile, the law on the rights of “mutants” and genetically modified people has been approved – Ostap Stakhiv",meter-false
70,The COVID-19 incidence rate became zero in late May 2022,meter-false
71,"The risk of death among children vaccinated against COVID-19 is 52 times greater, says ONS",meter-false
72,Provocation and Disinformation Overview,meter-false
73,"In Ukraine, the theft and homicide levels rose due to power outages",meter-false
74,Ukrainians beat two Berlin residents for speaking in russian,meter-false
75,A quote from Paul Goebbels about the Banderites,meter-false
76,The “Culture of good neighborliness” course for Ukrainian schoolchildren promotes gender and sexual orientation change,meter-false
77,US research in Ukraine led to an increase in the incidence of tick-borne borreliosis in Ukraine and an increase in the number of ticks in russia,meter-false
78,"In Chile, the law on the rights of “mutants” and genetically modified people has been approved – Ostap Stakhiv",meter-false
79,The COVID-19 incidence rate became zero in late May 2022,meter-false
80,"The risk of death among children vaccinated against COVID-19 is 52 times greater, says ONS",meter-false
81,Provocation and Disinformation Overview,meter-false
82,"In Ukraine, the theft and homicide levels rose due to power outages",meter-false
83,Ukrainians beat two Berlin residents for speaking in russian,meter-false
84,A quote from Paul Goebbels about the Banderites,meter-false
85,The “Culture of good neighborliness” course for Ukrainian schoolchildren promotes gender and sexual orientation change,meter-false
86,US research in Ukraine led to an increase in the incidence of tick-borne borreliosis in Ukraine and an increase in the number of ticks in russia,meter-false
87,"In Chile, the law on the rights of “mutants” and genetically modified people has been approved – Ostap Stakhiv",meter-false
88,The COVID-19 incidence rate became zero in late May 2022,meter-false
89,"The risk of death among children vaccinated against COVID-19 is 52 times greater, says ONS",meter-false
90,Provocation and Disinformation Overview,meter-false
91,"In Ukraine, the theft and homicide levels rose due to power outages",meter-false
92,Ukrainians beat two Berlin residents for speaking in russian,meter-false
93,A quote from Paul Goebbels about the Banderites,meter-false
94,The “Culture of good neighborliness” course for Ukrainian schoolchildren promotes gender and sexual orientation change,meter-false
95,US research in Ukraine led to an increase in the incidence of tick-borne borreliosis in Ukraine and an increase in the number of ticks in russia,meter-false
96,"In Chile, the law on the rights of “mutants” and genetically modified people has been approved – Ostap Stakhiv",meter-false
97,The COVID-19 incidence rate became zero in late May 2022,meter-false
98,"The risk of death among children vaccinated against COVID-19 is 52 times greater, says ONS",meter-false
99,Provocation and Disinformation Overview,meter-false
100,"In Ukraine, the theft and homicide levels rose due to power outages",meter-false
101,Ukrainians beat two Berlin residents for speaking in russian,meter-false
102,A quote from Paul Goebbels about the Banderites,meter-false
103,The “Culture of good neighborliness” course for Ukrainian schoolchildren promotes gender and sexual orientation change,meter-false
104,US research in Ukraine led to an increase in the incidence of tick-borne borreliosis in Ukraine and an increase in the number of ticks in russia,meter-false
105,"In Chile, the law on the rights of “mutants” and genetically modified people has been approved – Ostap Stakhiv",meter-false
106,The COVID-19 incidence rate became zero in late May 2022,meter-false
107,"The risk of death among children vaccinated against COVID-19 is 52 times greater, says ONS",meter-false
108,Provocation and Disinformation Overview,meter-false
109,"In Ukraine, the theft and homicide levels rose due to power outages",meter-false
110,Ukrainians beat two Berlin residents for speaking in russian,meter-false
111,A quote from Paul Goebbels about the Banderites,meter-false
112,The “Culture of good neighborliness” course for Ukrainian schoolchildren promotes gender and sexual orientation change,meter-false
113,US research in Ukraine led to an increase in the incidence of tick-borne borreliosis in Ukraine and an increase in the number of ticks in russia,meter-false
114,"In Chile, the law on the rights of “mutants” and genetically modified people has been approved – Ostap Stakhiv",meter-false
115,The COVID-19 incidence rate became zero in late May 2022,meter-false
116,"The risk of death among children vaccinated against COVID-19 is 52 times greater, says ONS",meter-false
117,Provocation and Disinformation Overview,meter-false
118,"In Ukraine, the theft and homicide levels rose due to power outages",meter-false
119,Ukrainians beat two Berlin residents for speaking in russian,meter-false
120,A quote from Paul Goebbels about the Banderites,meter-false
121,The “Culture of good neighborliness” course for Ukrainian schoolchildren promotes gender and sexual orientation change,meter-false
122,US research in Ukraine led to an increase in the incidence of tick-borne borreliosis in Ukraine and an increase in the number of ticks in russia,meter-false
123,"In Chile, the law on the rights of “mutants” and genetically modified people has been approved – Ostap Stakhiv",meter-false
124,The COVID-19 incidence rate became zero in late May 2022,meter-false
125,"The risk of death among children vaccinated against COVID-19 is 52 times greater, says ONS",meter-false
126,Provocation and Disinformation Overview,meter-false
127,"In Ukraine, the theft and homicide levels rose due to power outages",meter-false
128,Ukrainians beat two Berlin residents for speaking in russian,meter-false
129,A quote from Paul Goebbels about the Banderites,meter-false
130,The “Culture of good neighborliness” course for Ukrainian schoolchildren promotes gender and sexual orientation change,meter-false
131,US research in Ukraine led to an increase in the incidence of tick-borne borreliosis in Ukraine and an increase in the number of ticks in russia,meter-false
132,"In Chile, the law on the rights of “mutants” and genetically modified people has been approved – Ostap Stakhiv",meter-false
133,The COVID-19 incidence rate became zero in late May 2022,meter-false
134,"The risk of death among children vaccinated against COVID-19 is 52 times greater, says ONS",meter-false
135,Provocation and Disinformation Overview,meter-false
136,"In Ukraine, the theft and homicide levels rose due to power outages",meter-false
137,Ukrainians beat two Berlin residents for speaking in russian,meter-false
138,A quote from Paul Goebbels about the Banderites,meter-false
139,The “Culture of good neighborliness” course for Ukrainian schoolchildren promotes gender and sexual orientation change,meter-false
140,US research in Ukraine led to an increase in the incidence of tick-borne borreliosis in Ukraine and an increase in the number of ticks in russia,meter-false
141,"In Chile, the law on the rights of “mutants” and genetically modified people has been approved – Ostap Stakhiv",meter-false
142,The COVID-19 incidence rate became zero in late May 2022,meter-false
143,"The risk of death among children vaccinated against COVID-19 is 52 times greater, says ONS",meter-false
144,Provocation and Disinformation Overview,meter-false
145,"In Ukraine, the theft and homicide levels rose due to power outages",meter-false
146,Ukrainians beat two Berlin residents for speaking in russian,meter-false
147,A quote from Paul Goebbels about the Banderites,meter-false
148,The “Culture of good neighborliness” course for Ukrainian schoolchildren promotes gender and sexual orientation change,meter-false
149,US research in Ukraine led to an increase in the incidence of tick-borne borreliosis in Ukraine and an increase in the number of ticks in russia,meter-false
150,"In Chile, the law on the rights of “mutants” and genetically modified people has been approved – Ostap Stakhiv",meter-false
151,The COVID-19 incidence rate became zero in late May 2022,meter-false
152,"The risk of death among children vaccinated against COVID-19 is 52 times greater, says ONS",meter-false
153,Provocation and Disinformation Overview,meter-false
154,"In Ukraine, the theft and homicide levels rose due to power outages",meter-false
155,Ukrainians beat two Berlin residents for speaking in russian,meter-false
156,A quote from Paul Goebbels about the Banderites,meter-false
157,The “Culture of good neighborliness” course for Ukrainian schoolchildren promotes gender and sexual orientation change,meter-false
158,US research in Ukraine led to an increase in the incidence of tick-borne borreliosis in Ukraine and an increase in the number of ticks in russia,meter-false
159,"In Chile, the law on the rights of “mutants” and genetically modified people has been approved – Ostap Stakhiv",meter-false
160,The COVID-19 incidence rate became zero in late May 2022,meter-false
161,"The risk of death among children vaccinated against COVID-19 is 52 times greater, says ONS",meter-false
162,Provocation and Disinformation Overview,meter-false
163,"In Ukraine, the theft and homicide levels rose due to power outages",meter-false
164,Ukrainians beat two Berlin residents for speaking in russian,meter-false
165,A quote from Paul Goebbels about the Banderites,meter-false
166,The “Culture of good neighborliness” course for Ukrainian schoolchildren promotes gender and sexual orientation change,meter-false
167,US research in Ukraine led to an increase in the incidence of tick-borne borreliosis in Ukraine and an increase in the number of ticks in russia,meter-false
168,"In Chile, the law on the rights of “mutants” and genetically modified people has been approved – Ostap Stakhiv",meter-false
169,The COVID-19 incidence rate became zero in late May 2022,meter-false
170,"The risk of death among children vaccinated against COVID-19 is 52 times greater, says ONS",meter-false
171,Provocation and Disinformation Overview,meter-false
172,"In Ukraine, the theft and homicide levels rose due to power outages",meter-false
173,Ukrainians beat two Berlin residents for speaking in russian,meter-false
174,A quote from Paul Goebbels about the Banderites,meter-false
175,The “Culture of good neighborliness” course for Ukrainian schoolchildren promotes gender and sexual orientation change,meter-false
176,US research in Ukraine led to an increase in the incidence of tick-borne borreliosis in Ukraine and an increase in the number of ticks in russia,meter-false
177,"In Chile, the law on the rights of “mutants” and genetically modified people has been approved – Ostap Stakhiv",meter-false
178,The COVID-19 incidence rate became zero in late May 2022,meter-false
179,"The risk of death among children vaccinated against COVID-19 is 52 times greater, says ONS",meter-false
180,Provocation and Disinformation Overview,meter-false
181,"In Ukraine, the theft and homicide levels rose due to power outages",meter-false
182,Ukrainians beat two Berlin residents for speaking in russian,meter-false
183,A quote from Paul Goebbels about the Banderites,meter-false
184,The “Culture of good neighborliness” course for Ukrainian schoolchildren promotes gender and sexual orientation change,meter-false
185,US research in Ukraine led to an increase in the incidence of tick-borne borreliosis in Ukraine and an increase in the number of ticks in russia,meter-false
186,"In Chile, the law on the rights of “mutants” and genetically modified people has been approved – Ostap Stakhiv",meter-false
187,The COVID-19 incidence rate became zero in late May 2022,meter-false
188,"The risk of death among children vaccinated against COVID-19 is 52 times greater, says ONS",meter-false
189,Provocation and Disinformation Overview,meter-false
190,"In Ukraine, the theft and homicide levels rose due to power outages",meter-false
191,Ukrainians beat two Berlin residents for speaking in russian,meter-false
192,A quote from Paul Goebbels about the Banderites,meter-false
193,The “Culture of good neighborliness” course for Ukrainian schoolchildren promotes gender and sexual orientation change,meter-false
194,US research in Ukraine led to an increase in the incidence of tick-borne borreliosis in Ukraine and an increase in the number of ticks in russia,meter-false
195,"In Chile, the law on the rights of “mutants” and genetically modified people has been approved – Ostap Stakhiv",meter-false
196,The COVID-19 incidence rate became zero in late May 2022,meter-false
197,"The risk of death among children vaccinated against COVID-19 is 52 times greater, says ONS",meter-false
198,Provocation and Disinformation Overview,meter-false
199,"In Ukraine, the theft and homicide levels rose due to power outages",meter-false
200,Ukrainians beat two Berlin residents for speaking in russian,meter-false
201,A quote from Paul Goebbels about the Banderites,meter-false
202,The “Culture of good neighborliness” course for Ukrainian schoolchildren promotes gender and sexual orientation change,meter-false
203,US research in Ukraine led to an increase in the incidence of tick-borne borreliosis in Ukraine and an increase in the number of ticks in russia,meter-false
204,"In Chile, the law on the rights of “mutants” and genetically modified people has been approved – Ostap Stakhiv",meter-false
205,The COVID-19 incidence rate became zero in late May 2022,meter-false
206,"The risk of death among children vaccinated against COVID-19 is 52 times greater, says ONS",meter-false
207,Provocation and Disinformation Overview,meter-false
208,"In Ukraine, the theft and homicide levels rose due to power outages",meter-false
209,Ukrainians beat two Berlin residents for speaking in russian,meter-false
210,A quote from Paul Goebbels about the Banderites,meter-false
211,The “Culture of good neighborliness” course for Ukrainian schoolchildren promotes gender and sexual orientation change,meter-false
212,US research in Ukraine led to an increase in the incidence of tick-borne borreliosis in Ukraine and an increase in the number of ticks in russia,meter-false
213,"In Chile, the law on the rights of “mutants” and genetically modified people has been approved – Ostap Stakhiv",meter-false
214,The COVID-19 incidence rate became zero in late May 2022,meter-false
215,"The risk of death among children vaccinated against COVID-19 is 52 times greater, says ONS",meter-false
216,Provocation and Disinformation Overview,meter-false
217,"In Ukraine, the theft and homicide levels rose due to power outages",meter-false
218,Ukrainians beat two Berlin residents for speaking in russian,meter-false
219,A quote from Paul Goebbels about the Banderites,meter-false
220,The “Culture of good neighborliness” course for Ukrainian schoolchildren promotes gender and sexual orientation change,meter-false
221,US research in Ukraine led to an increase in the incidence of tick-borne borreliosis in Ukraine and an increase in the number of ticks in russia,meter-false
222,"In Chile, the law on the rights of “mutants” and genetically modified people has been approved – Ostap Stakhiv",meter-false
223,The COVID-19 incidence rate became zero in late May 2022,meter-false
224,"The risk of death among children vaccinated against COVID-19 is 52 times greater, says ONS",meter-false
225,Provocation and Disinformation Overview,meter-false
226,"In Ukraine, the theft and homicide levels rose due to power outages",meter-false
227,Ukrainians beat two Berlin residents for speaking in russian,meter-false
228,A quote from Paul Goebbels about the Banderites,meter-false
229,The “Culture of good neighborliness” course for Ukrainian schoolchildren promotes gender and sexual orientation change,meter-false
230,US research in Ukraine led to an increase in the incidence of tick-borne borreliosis in Ukraine and an increase in the number of ticks in russia,meter-false
231,"In Chile, the law on the rights of “mutants” and genetically modified people has been approved – Ostap Stakhiv",meter-false
232,The COVID-19 incidence rate became zero in late May 2022,meter-false
233,"The risk of death among children vaccinated against COVID-19 is 52 times greater, says ONS",meter-false
234,Provocation and Disinformation Overview,meter-false
235,Russia’s Army was “destroyed.”,meter-false
236,The war in Ukraine is “all over.”,meter-false
237,“Gas prices are down back to where they were before Russia invaded Ukraine.”,meter-true
238,"Images of a woman having bloody makeup applied show ""fake combatant photos” in Ukraine.",meter-false
239,U.S. tax dollars sent to help Ukraine were laundered back by cryptocurrency firm FTX to help Democrats in midterms.,meter-false
240,"President Joe Biden and Democrats ""send a fortune to Ukraine but nothing for our children.""",meter-false
241,“Ukraine has a nuclear bomb primed in Mykolaiv.”,meter-false
242,Video clips show staged war footage from Ukraine.,meter-false
243,A CNN headline shows Uganda’s president saying he doesn’t support Ukraine because it would be “disgusting.”,meter-false
244,North Korea has taken military action against Russia.,meter-false
245,“The Russian army has surrendered in Donetsk!”,meter-false
246,"“North Korea sent more than 100,000 troops to Russia for the Ukraine War!”",meter-false
247,“Chinese military convoy enters Ukraine from Russia.”,meter-false
248,"""Russia is becoming the first country to break ties with the Antarctic Treaty.""",meter-false
249,Russia “has not lost anything” in its invasion of Ukraine.,meter-false
250,“The Russian army is withdrawing from Ukraine!” in September 2022,meter-false
251,“US Army in Ukraine.”,meter-false
252,"“Putin humiliatingly blows up all weapons and facilities"" on Snake Island by retreating Russian troops.",meter-false
253,Video shows Russian artillery tanks “completely destroyed by Bayraktar TB2 drones” on July 2.,meter-false
