,claim,dateOfPublish,year,month,day
0,Provocation and Disinformation Overview,20 february 2023 year ,2023,february,20
1,"In Ukraine, the theft and homicide levels rose due to power outages",30 november 2022 year ,2022,november,30
2,Ukrainians beat two Berlin residents for speaking in russian,30 november 2022 year ,2022,november,30
3,A quote from Paul Goebbels about the Banderites,30 november 2022 year ,2022,november,30
4,The “Culture of good neighborliness” course for Ukrainian schoolchildren promotes gender and sexual orientation change,30 november 2022 year ,2022,november,30
5,US research in Ukraine led to an increase in the incidence of tick-borne borreliosis in Ukraine and an increase in the number of ticks in russia,22 september 2022 year ,2022,september,22
6,"In Chile, the law on the rights of “mutants” and genetically modified people has been approved – Ostap Stakhiv",22 september 2022 year ,2022,september,22
7,The COVID-19 incidence rate became zero in late May 2022,22 september 2022 year ,2022,september,22
8,"The risk of death among children vaccinated against COVID-19 is 52 times greater, says ONS",22 september 2022 year ,2022,september,22
9,Provocation and Disinformation Overview,20 february 2023 year ,2023,february,20
10,"In Ukraine, the theft and homicide levels rose due to power outages",30 november 2022 year ,2022,november,30
11,Ukrainians beat two Berlin residents for speaking in russian,30 november 2022 year ,2022,november,30
12,A quote from Paul Goebbels about the Banderites,30 november 2022 year ,2022,november,30
13,The “Culture of good neighborliness” course for Ukrainian schoolchildren promotes gender and sexual orientation change,30 november 2022 year ,2022,november,30
14,US research in Ukraine led to an increase in the incidence of tick-borne borreliosis in Ukraine and an increase in the number of ticks in russia,22 september 2022 year ,2022,september,22
15,"In Chile, the law on the rights of “mutants” and genetically modified people has been approved – Ostap Stakhiv",22 september 2022 year ,2022,september,22
16,The COVID-19 incidence rate became zero in late May 2022,22 september 2022 year ,2022,september,22
17,"The risk of death among children vaccinated against COVID-19 is 52 times greater, says ONS",22 september 2022 year ,2022,september,22
18,Provocation and Disinformation Overview,20 february 2023 year ,2023,february,20
19,"In Ukraine, the theft and homicide levels rose due to power outages",30 november 2022 year ,2022,november,30
20,Ukrainians beat two Berlin residents for speaking in russian,30 november 2022 year ,2022,november,30
