id,claim,desc,truth_value
0,"North Korea Launches a Ballistic Missile, South Korea Says","Flight data suggested that the missile launched Sunday was less powerful than the last one the North tested, four weeks ago.",meter-true
1,‘Saturday Night Live’ Pays Tribute to Ukraine,"This week’s episode, hosted by John Mulaney, began not with a comedy sketch but with a performance by a Ukrainian chorus.",meter-true
2,Why the Chinese Internet Is Cheering Russia’s Invasion,"As the world overwhelmingly condemns the assault on Ukraine, online opinion in China is mostly pro-Russia, pro-war and pro-Putin.",meter-true
3,Putin vs. Democracy,"Democracy is on the decline worldwide, and Vladimir Putin is a big factor.",meter-true
4,,,meter-true
5,"What’s Going On in This Picture? | Feb. 28, 2022","Look closely at this image, stripped of its caption, and join the moderated conversation about what you and other students see.",meter-true
6,Russia’s invasion prompts Germany to beef up military funding.,"Chancellor Olaf Scholz announced a major increase to Germany’s defense budget, a shift in longstanding policy.",meter-true
7,Britain’s top diplomat says she would support people going to fight for Ukraine.,Britain’s foreign secretary said people should “absolutely” go to Ukraine and fight “if that is what they want do to.”,meter-true
8,Ukraine Invasion Tests the Ties That Bind Putin and Xi,"The two autocrats have brought their countries closer together than ever. But for China, the costs of Russia’s adventurism could be high.",meter-true
9,We Are All Living in Vladimir Putin’s World Now,It’s shaped by historical resentments and great power politics. And it’s going to be ugly.,meter-true
10,This War Is Not in My Name,Vladimir Putin abuses my language. Steals it to pretend he is defending the rights of Russian speakers.,meter-true
11,U.S. deflects Putin’s nuclear alert as another effort at escalation.,"Both countries have various levels of alert, and it was unclear how Putin’s wording would be implemented by Russian nuclear forces.",meter-true
12,Europe escalates measures against Russia with flight bans and weapons for Ukraine.,,meter-true
13,Russia’s Invasion of Ukraine: A Forum for Young People to React,"We invite teenagers to share what they have felt, discussed and wondered in the days since Russia attacked Ukraine.",meter-true
14,"William P. Barr’s Memoir Is Part Lawyerly Defense, Part Culture-War Diatribe","In “One Damn Thing After Another,” the former attorney general suggests that Republicans move past Donald Trump and his “madcap rhetoric,” but saves his harshest words for the former president’s critics.",meter-true
15,,,meter-true
16,"Once Sleepy and Picturesque, Ukrainian Villages Mobilize for War","While Russian assaults on Ukrainian cities have drawn most of the attention in the war’s early days, civilians in country towns have joined the fight, putting aside the routines of daily village life.",meter-true
17,"Review: Upended by Global Conflict, the Vienna Philharmonic Plays On","Yannick Nézet-Séguin picked up the baton at Carnegie Hall, after a conductor with ties to Vladimir Putin was dropped amid Russia’s invasion of Ukraine.",meter-true
18,How the American Right Stopped Worrying and Learned to Love Russia,The American right has changed course since the Cold War.,meter-true
19,Your Monday Briefing: Ukraine Agrees to Talks,Plus new research into the pandemic’s origins and North Korea’s latest missile test.,meter-true
20,Ukraine War Forces Hungary’s Orban Into Political Contortions,"The pro-Russia, anti-immigrant Hungarian prime minister, who denounced any sanctions against Russia just weeks ago, has been forced to reverse himself as an election looms.",meter-true
21,Ukrainians in Britain Take Up the Cause Back Home,"Whether vowing to kill Russians or offering medical supplies, Ukrainian citizens are too impatient to sit idly by.",meter-true
22,"‘I’m a Soldier Now.’ Even in Untouched Villages, Ukrainians Prepare to Fight","In cities and towns in Central Ukraine that have not yet heard the boom of Russian artillery fire, residents spent the weekend preparing furiously for the possibly of an attack.",meter-true
