id,claim,desc,truth_value
0,Review: A Blunt New ‘Lohengrin’ at the Met Stars a Shining Knight,"The tenor Piotr Beczala sings with uncanny serenity and command in the title role of Wagner’s opera, directed by François Girard with little subtlety.",meter-true
1,Janet Yellen in Kyiv: Economic Aid to Ukraine Is Vital,Our commitment to support a brave people defending their country is unwavering.,meter-true
2,The Phone in the Room,We examine the raging debate about smartphones and teenage mental health.,meter-true
3,The French Sports Minister’s Trials by Fire,"Amélie Oudéa-Castéra’s first year in office brought chaos at the Champions League final and scandals in multiple sports. With the Paris Olympics looming, her toughest days may be ahead.",meter-true
4,,,meter-true
5,"I Went to Syria, the Country That Remade Our World, and This Is What I Saw",We have abandoned the Syrian people to biblical devastation.,meter-true
6,Russia’s New Offensive Sends Conscripts Into the Teeth of Ukraine’s Lines,"A month into the campaign, Russian forces have barely budged despite forays by small units in fields, pine forests and ruined towns.",meter-true
7,China Dismisses Latest Claim That Lab Leak Likely Caused Covid,"The response came after the Energy Department concluded with “low confidence” that the coronavirus emerged from a lab in Wuhan, China.",meter-true
8,Your Monday Briefing,The effects of the war in Ukraine on Europe.,meter-true
9,Your Monday Briefing: China’s Race to Encourage Births,"Also, how the war in Ukraine changed Europe and Iranian women are removing their hijabs.",meter-true
10,"Across the Globe, the Russian Diaspora Finds Ways to Protest Putin’s War","From Berlin to Chicago, crowds gathered to express solidarity with Ukraine and to underscore that not all Russians support Vladimir Putin’s war.",meter-true
11,The Week in Business: Fraud Charges for a Media Founder,President Biden announced his choice to head the World Bank. And the Supreme Court will hear arguments about student debt cancellation.,meter-true
12,Child Labor Today,"A Times exposé has revealed that young teenagers work long shifts, sometimes for nationally known brands. What can be done?",meter-true
13,Deadly Russian Artillery Strikes Reported in Ukraine’s East and South,"Officials said at least five civilians were killed in the attacks, as President Vladimir V. Putin repeated his claim that the war is part of a U.S.-led effort to destroy Russia.",meter-true
14,"In Ukraine War, Talking About Peace Is a Fight of Its Own","Russia and the West have argued for months about which side is more willing to negotiate, with the world as an audience.",meter-true
15,,,meter-true
16,War in Ukraine Has Changed Europe Forever,"No event has transformed the continent more profoundly since the end of the Cold War, and there is no going back now.",meter-true
17,"China to Welcome Belarusian Leader, Raising Concerns Over Ukraine",A state visit next week by Aleksandr G. Lukashenko of Belarus comes as the U.S. has accused China of preparing to send lethal aid to Russia.,meter-true
18,"Tempered in a Crucible of Violence, Zelensky Rises to the Moment","In much of the world, President Volodymyr Zelensky, once brushed off as a political lightweight, has become a household name, representing Ukraine’s tenacity and underdog victories against Russia.",meter-true
19,The Brave Man Whom Putin Wants to Kill,"As the dissident Aleksei Navalny is tormented in a Russian prison cell, his daughter studies at Stanford and tries to keep her dad alive.",meter-true
20,From Carter to M.T.G.: What a Peach State Plummet,From Hope of the South to Dope of the South.,meter-true
21,"Is It Fraud, or Is It ‘Puffery’?","Courts have given companies some leeway to make (perhaps overly optimistic) sweeping statements, a practice lawyers call “puffing.”",meter-true
22,War in Ukraine Deepens Divide Among Major Economies at G20 Gathering,"Treasury Secretary Janet L. Yellen urged her counterparts at a summit in India to condemn Russia’s actions, and she defended the cost of supplying aid to Kyiv.",meter-true
23,Getting Back on Skis,Returning to activities you’ve given up can be a surprising source of confidence and wonder.,meter-true
24,Protests and Defiance Mark a Year of Russia’s War on Ukraine,"On the anniversary of the invasion, Volodymyr Zelensky held a marathon news conference and vowed victory if Ukraine’s allies remained united like a fist.",meter-true
25,Biden Reaffirms Support for Ukraine Amid Concerns About Russia-Iran Ties,The Biden administration announced new measures targeting Moscow and supporters of President Vladimir V. Putin’s war.,meter-true
26,,,meter-true
27,Your Friday Evening Briefing,Here’s what you need to know at the end of the day.,meter-true
