claim,dateOfPublish
UPDATED. Provocation and Disinformation Overview,"
20 february 2023
year "
"FAKE: In Ukraine, the theft and homicide levels rose due to power outages","
30 november 2022
year "
MANIPULATION: Ukrainians beat two Berlin residents for speaking in russian,"
30 november 2022
year "
FAKE: A quote from Paul Goebbels about the Banderites,"
30 november 2022
year "
FAKE: The “Culture of good neighborliness” course for Ukrainian schoolchildren promotes gender and sexual orientation change,"
30 november 2022
year "
FAKE: US research in Ukraine led to an increase in the incidence of tick-borne borreliosis in Ukraine and an increase in the number of ticks in russia,"
22 september 2022
year "
"FAKE: In Chile, the law on the rights of “mutants” and genetically modified people has been approved – Ostap Stakhiv","
22 september 2022
year "
FALSE: The COVID-19 incidence rate became zero in late May 2022,"
22 september 2022
year "
"FAKE: The risk of death among children vaccinated against COVID-19 is 52 times greater, says ONS","
22 september 2022
year "
UPDATED. Provocation and Disinformation Overview,"
20 february 2023
year "
"FAKE: In Ukraine, the theft and homicide levels rose due to power outages","
30 november 2022
year "
MANIPULATION: Ukrainians beat two Berlin residents for speaking in russian,"
30 november 2022
year "
FAKE: A quote from Paul Goebbels about the Banderites,"
30 november 2022
year "
FAKE: The “Culture of good neighborliness” course for Ukrainian schoolchildren promotes gender and sexual orientation change,"
30 november 2022
year "
FAKE: US research in Ukraine led to an increase in the incidence of tick-borne borreliosis in Ukraine and an increase in the number of ticks in russia,"
22 september 2022
year "
"FAKE: In Chile, the law on the rights of “mutants” and genetically modified people has been approved – Ostap Stakhiv","
22 september 2022
year "
FALSE: The COVID-19 incidence rate became zero in late May 2022,"
22 september 2022
year "
"FAKE: The risk of death among children vaccinated against COVID-19 is 52 times greater, says ONS","
22 september 2022
year "
UPDATED. Provocation and Disinformation Overview,"
20 february 2023
year "
"FAKE: In Ukraine, the theft and homicide levels rose due to power outages","
30 november 2022
year "
MANIPULATION: Ukrainians beat two Berlin residents for speaking in russian,"
30 november 2022
year "
FAKE: A quote from Paul Goebbels about the Banderites,"
30 november 2022
year "
FAKE: The “Culture of good neighborliness” course for Ukrainian schoolchildren promotes gender and sexual orientation change,"
30 november 2022
year "
FAKE: US research in Ukraine led to an increase in the incidence of tick-borne borreliosis in Ukraine and an increase in the number of ticks in russia,"
22 september 2022
year "
"FAKE: In Chile, the law on the rights of “mutants” and genetically modified people has been approved – Ostap Stakhiv","
22 september 2022
year "
FALSE: The COVID-19 incidence rate became zero in late May 2022,"
22 september 2022
year "
"FAKE: The risk of death among children vaccinated against COVID-19 is 52 times greater, says ONS","
22 september 2022
year "
UPDATED. Provocation and Disinformation Overview,"
20 february 2023
year "
"FAKE: In Ukraine, the theft and homicide levels rose due to power outages","
30 november 2022
year "
MANIPULATION: Ukrainians beat two Berlin residents for speaking in russian,"
30 november 2022
year "
FAKE: A quote from Paul Goebbels about the Banderites,"
30 november 2022
year "
FAKE: The “Culture of good neighborliness” course for Ukrainian schoolchildren promotes gender and sexual orientation change,"
30 november 2022
year "
FAKE: US research in Ukraine led to an increase in the incidence of tick-borne borreliosis in Ukraine and an increase in the number of ticks in russia,"
22 september 2022
year "
"FAKE: In Chile, the law on the rights of “mutants” and genetically modified people has been approved – Ostap Stakhiv","
22 september 2022
year "
FALSE: The COVID-19 incidence rate became zero in late May 2022,"
22 september 2022
year "
"FAKE: The risk of death among children vaccinated against COVID-19 is 52 times greater, says ONS","
22 september 2022
year "
UPDATED. Provocation and Disinformation Overview,"
20 february 2023
year "
"FAKE: In Ukraine, the theft and homicide levels rose due to power outages","
30 november 2022
year "
MANIPULATION: Ukrainians beat two Berlin residents for speaking in russian,"
30 november 2022
year "
FAKE: A quote from Paul Goebbels about the Banderites,"
30 november 2022
year "
FAKE: The “Culture of good neighborliness” course for Ukrainian schoolchildren promotes gender and sexual orientation change,"
30 november 2022
year "
FAKE: US research in Ukraine led to an increase in the incidence of tick-borne borreliosis in Ukraine and an increase in the number of ticks in russia,"
22 september 2022
year "
"FAKE: In Chile, the law on the rights of “mutants” and genetically modified people has been approved – Ostap Stakhiv","
22 september 2022
year "
FALSE: The COVID-19 incidence rate became zero in late May 2022,"
22 september 2022
year "
"FAKE: The risk of death among children vaccinated against COVID-19 is 52 times greater, says ONS","
22 september 2022
year "
UPDATED. Provocation and Disinformation Overview,"
20 february 2023
year "
"FAKE: In Ukraine, the theft and homicide levels rose due to power outages","
30 november 2022
year "
MANIPULATION: Ukrainians beat two Berlin residents for speaking in russian,"
30 november 2022
year "
FAKE: A quote from Paul Goebbels about the Banderites,"
30 november 2022
year "
FAKE: The “Culture of good neighborliness” course for Ukrainian schoolchildren promotes gender and sexual orientation change,"
30 november 2022
year "
FAKE: US research in Ukraine led to an increase in the incidence of tick-borne borreliosis in Ukraine and an increase in the number of ticks in russia,"
22 september 2022
year "
"FAKE: In Chile, the law on the rights of “mutants” and genetically modified people has been approved – Ostap Stakhiv","
22 september 2022
year "
FALSE: The COVID-19 incidence rate became zero in late May 2022,"
22 september 2022
year "
"FAKE: The risk of death among children vaccinated against COVID-19 is 52 times greater, says ONS","
22 september 2022
year "
