,Unnamed: 0,Unnamed: 0.1,claim,truth_value,source,simple_sentence
0,0,0,"In Ukraine, the theft and homicide levels rose due to power outages",meter-false,vox-ukraine,In Ukraine  the theft homicide levels rose due to power outages . In Ukraine  theft homicide levels rose due to power outages . 
1,1,1,Ukrainians beat two Berlin residents for speaking in russian,meter-false,vox-ukraine,Ukrainians beat two Berlin residents for speaking in russian .
2,2,2,A quote from Paul Goebbels about the Banderites,meter-false,vox-ukraine,A quote from Paul Goebbels about the Banderites .
3,3,3,The “Culture of good neighborliness” course for Ukrainian schoolchildren promotes gender and sexual orientation change,meter-false,vox-ukraine,The “ Culture of good neighborliness ” course for Ukrainian schoolchildren promotes  gender . The “ Culture of good neighborliness ” course for Ukrainian schoolchildren promotes  sexual orientation change . 
4,4,4,US research in Ukraine led to an increase in the incidence of tick-borne borreliosis in Ukraine and an increase in the number of ticks in russia,meter-false,vox-ukraine,US research in Ukraine led to an increase in the incidence of tick-borne borreliosis in Ukraine . US research in Ukraine led to an increase in the incidence of an increase in the number of ticks in russia . 
5,5,5,"In Chile, the law on the rights of “mutants” and genetically modified people has been approved – Ostap Stakhiv",meter-false,vox-ukraine,In Chile  the law on the rights of “ mutants ” has  been approved – Ostap Stakhiv . In Chile  the law on the rights of genetically modified people has  been approved – Ostap Stakhiv . 
6,6,6,The COVID-19 incidence rate became zero in late May 2022,meter-false,vox-ukraine,The COVID-19 incidence rate became zero in late May 2022 .
7,7,7,"The risk of death among children vaccinated against COVID-19 is 52 times greater, says ONS",meter-false,vox-ukraine,"The risk of death among children vaccinated against COVID-19 is 52 times greater, says ONS ."
8,8,8,Russia’s Army was “destroyed.”,meter-false,politifact,Russia’s Army was “destroyed.” .
9,9,9,The war in Ukraine is “all over.”,meter-false,politifact,The war in Ukraine is “all over.” .
10,10,10,“Gas prices are down back to where they were before Russia invaded Ukraine.”,meter-true,politifact,“Gas prices are down back to where they were before Russia invaded Ukraine.” .
11,11,11,"Images of a woman having bloody makeup applied show ""fake combatant photos” in Ukraine.",meter-false,politifact,"Images of a woman having bloody makeup applied show ""fake combatant photos” in Ukraine.."
12,12,12,U.S. tax dollars sent to help Ukraine were laundered back by cryptocurrency firm FTX to help Democrats in midterms.,meter-false,politifact,U.S. tax dollars sent to help Ukraine were laundered back by cryptocurrency firm FTX to help Democrats in midterms..
