,0,1
0,EU accepts depleted uranium shells to Ukraine but threatens new sanctions for the deployment of nuclear weapons to Belarus,meter-false
1,Use of depleted uranium shells is a crime against humanity,meter-false
2,Depleted uranium rounds are 'dirty' nuclear bombs,meter-false
3,UK delivery of depleted uranium tank shells will lead to a nuclear catastrophe,meter-false
4,Rounds with depleted uranium are dirty bombs,meter-false
5,UK deliveries of depleted uranium shells to Ukraine would spell a radioactive disaster,meter-false
6,Fascist spirit in Europe behind Ukrainian soldiers burning the Koran,meter-false
7,ICC has no competence to issue warrants against citizens of the Russian Federation,meter-false
8,The EU is turning into an aggressive militarist bloc,meter-false
9,ICC: Putin's arrest warrant is a cheap trick to mess with Moscow,meter-false
10,"Nazi Ukrainian soldiers put lard on the Koran, spoke Ukrainian and burned it",meter-false
11,The arrest warrant issued by the ICC - International Criminal Court against Putin poses new challenges to chances for peace,meter-false
12,Donbas children not deported to Russia but saved from bombing,meter-false
13,Bucha massacre was orchestrated by Ukrainian forces,meter-false
14,The special military operation is a proxy war between Russia and the West,meter-false
15,EU High Representative Josep Borrell turns the EU into a military machine,meter-false
16,French studio releases animation series denouncing Zelenskyy's blood thirst,meter-false
17,Kyiv’s words that Moscow is unwilling to hold talks are a big lie,meter-false
18,The Zelenskyy regime began a new stage of persecution of Ukrainian Orthodox Church,meter-false
19,Western Ukraine will be safe if it comes under the protection of Poland: Mateusz Morawiecki,meter-false
20,Poland continues its gradual seizure of Western Ukraine,meter-false
21,The Russian special military operation in Ukraine uncovered US biological laboratories,meter-false
22,The West supports neo-Nazis in Ukraine,meter-false
23,The West demonizes Vladimir Putin and closed the way to negotiations in Ukraine,meter-false
24,The European Union is not interested in de-escalation in Ukraine,meter-false
25,Kyiv disregards the lives of its soldiers and civilians,meter-false
26,The kidnapping of Ukrainian children by Russia is an absurd hoax,meter-false
27,The EU might start a war against Belarus and Transnistria,meter-false
28,Ukraine court orders demolition of Orthodox church,meter-false
29,Russia has not received serious proposals about a solution for Ukraine war since March 2022,meter-false
30,The US is going to use psychotropic weapons against Russian army in Ukraine,meter-false
31,The US supplied Ukraine with poisonous substances,meter-false
