,claim,simple_sentence,truth_value,source
0,"In Ukraine, the theft and homicide levels rose due to power outages",In Ukraine  the theft homicide levels rose due to power outages. In Ukraine  theft homicide levels rose due to power outages. ,meter-false,vox-ukraine
1,Ukrainians beat two Berlin residents for speaking in russian,Ukrainians beat two Berlin residents for speaking in russian,meter-false,vox-ukraine
2,A quote from Paul Goebbels about the Banderites,A quote from Paul Goebbels about the Banderites,meter-false,vox-ukraine
3,The “Culture of good neighborliness” course for Ukrainian schoolchildren promotes gender and sexual orientation change,The `` Culture of good neighborliness '' course for Ukrainian schoolchildren promotes gender orientation change. The `` Culture of good neighborliness '' course for Ukrainian schoolchildren promotes sexual gender orientation change. ,meter-false,vox-ukraine
4,US research in Ukraine led to an increase in the incidence of tick-borne borreliosis in Ukraine and an increase in the number of ticks in russia,US research in Ukraine led to an increase in the incidence of tick-borne borreliosis in Ukraine. US research in Ukraine led to an increase in the incidence of an increase in the number of ticks in russia. ,meter-false,vox-ukraine
5,"In Chile, the law on the rights of “mutants” and genetically modified people has been approved – Ostap Stakhiv",In Chile  the law on the rights of `` mutants '' has been approved -- Ostap Stakhiv. In Chile  the law on the rights of genetically modified people has been approved -- Ostap Stakhiv. ,meter-false,vox-ukraine
6,The COVID-19 incidence rate became zero in late May 2022,The COVID-19 incidence rate became zero in late May 2022,meter-false,vox-ukraine
7,"The risk of death among children vaccinated against COVID-19 is 52 times greater, says ONS","The risk of death among children vaccinated against COVID-19 is 52 times greater, says ONS",meter-false,vox-ukraine
8,Russia’s Army was “destroyed.”,Russia’s Army was “destroyed.”,meter-false,politifact
9,The war in Ukraine is “all over.”,The war in Ukraine is “all over.”,meter-false,politifact
10,“Gas prices are down back to where they were before Russia invaded Ukraine.”,“Gas prices are down back to where they were before Russia invaded Ukraine.”,meter-true,politifact
11,"Images of a woman having bloody makeup applied show ""fake combatant photos” in Ukraine.","Images of a woman having bloody makeup applied show ""fake combatant photos” in Ukraine.",meter-false,politifact
