,0,1
0,UPDATED. Provocation and Disinformation Overview,meter-false
1,FAKE: Only “pure-blooded Ukrainians” can donate blood — photo of the announcement,meter-false
2,FAKE: Soldiers of the Armed Forces of Ukraine began to create same-sex unions more often — Zaluzhnyi,meter-false
3,"FAKE: In Ukraine, the theft and homicide levels rose due to power outages",meter-false
4,MANIPULATION: Ukrainians beat two Berlin residents for speaking in russian,meter-false
5,FAKE: A quote from Paul Goebbels about the Banderites,meter-false
6,FAKE: The “Culture of good neighborliness” course for Ukrainian schoolchildren promotes gender and sexual orientation change,meter-false
7,FAKE: US research in Ukraine led to an increase in the incidence of tick-borne borreliosis in Ukraine and an increase in the number of ticks in russia,meter-false
8,"FAKE: In Chile, the law on the rights of “mutants” and genetically modified people has been approved – Ostap Stakhiv",meter-false
9,"When watching golf's most notorious major, imagine a giant pile of little things churning inside addled minds.",meter-true
10,America’s longest war has been a failure.,meter-true
11,Pacifist Colman McCarthy urges his students and others to make at least one small move to make a difference.,meter-true
12,"In Grand Rapids, Mich., years of inaction on immigration reform have left many Latinos disillusioned with both parties.",meter-true
13,Bernie Sanders can quit the race and still get what he wants.,meter-true
14,"""I feel like I’ve finally come in terms with the responsibilities I have as a creator,"" he said in a video celebrating 100 million subscribers.",meter-true
15,Riverfront Davenport survived for years without a levee. Now its downtown is underwater.,meter-true
16,"The first folding smartphone is finally about to arrive, and our tech columnist answers some critical questions about what's good — and bad.",meter-true
17,"“When I took this case, I wanted it because wolves are the Middle East of wildlife conflict.”",meter-true
18,A chance for real unity was lost.,meter-true
19,"A member of the old guard of Palestinian leaders, Mr. Qurei was a principal architect of the Oslo Accords, the first peace agreement with Israel.",meter-true
20,"Also, Britain and the E.U. agree on a Northern Ireland trade deal and winter devastates Afghanistan.",meter-true
21,Treasury Secretary Janet Yellen traveled to Kyiv the day before Secretary of State Antony Blinken was to visit Central Asia in a show of American solidarity with Ukraine in its battle with Russia.,meter-true
22,Secretary of State Antony J. Blinken is making the first trip by a Biden administration cabinet official to the former Soviet republics of Central Asia.,meter-true
23,We examine the raging debate about smartphones and teenage mental health.,meter-true
24,There are many different ways to be lonely.,meter-true
25,The effects of the war in Ukraine on Europe.,meter-true
26,"Also, how the war in Ukraine changed Europe and Iranian women are removing their hijabs.",meter-true
27,Worthy goals like freedom and autonomy can harm others if we hold them above all else.,meter-true
28,"Russia and the West have argued for months about which side is more willing to negotiate, with the world as an audience.",meter-true
