,0,1
0,"Juxtaposing TikTok with Apple, Chinese Commentator Misleads on China’s Openness to Foreign Businesses",MISLEADING
1,"Russia Unrealistically Forecasts Producing 1,500 Tanks a Year",LIKELY FALSE
2,Prigozhin Writes to Secretary Blinken with False Claims About Wagner Group in Africa,FALSE
3,Putin Falsely Claims Russia Guided by the UN Charter,FALSE
4,"Once Again, Iran’s Supreme Leader Falsely Pins Russia’s Ukraine War on U.S.",FALSE
5,Russia’s False Arguments Against Being Called Authoritarian,FALSE
6,Russia Twists Kirby’s Comment on Xi’s Ukraine Ceasefire,MISLEADING
7,China Misleads on Why North Korea’s Denuclearization Failed,MISLEADING
8,"In Buryatia, Putin Claims All of Ukraine is Russian-Speaking, Repeating a False Pretext for War",FALSE
9,Russia Recycles Ukraine Falsehoods to Deflect War Crimes Prosecution,FALSE
10,Russia Falsely Denies Similarities Between its Invasion of Ukraine and Nazi Germany's Invasion of Norway,FALSE
11,Russian Ambassador Spews Falsehoods Responding to US Women of Courage Award to Ukrainian Medic,FALSE
12,Misleading: Chinese State Media Depict Pro-Russia Rally as ‘Real Voices’ of American People,MISLEADING
13,From Russian State Media: A Fabricated Explosion of ‘American Love for Putin’,FALSE
14,US Arms Sales to Taiwan Do Not Break America’s Promise to China,MISLEADING
15,"Forget the Hype, India Didn’t Favor Russia over Germany in Greeting Diplomats",MISLEADING
16,"No, Zelenskyy Did Not Say American Sons and Daughters Will Have to Die in Ukraine",FALSE
17,False: Russia’s Decolonization (Like All Empires Before) Leads to World Catastrophe,FALSE
18,"Disinfo Cocktail: Russian Tank in Berlin, 2,000 Roses, and 50,000 Rally",FALSE
19,No Joke: China Demands US Explain Fictional ‘Plan for the Destruction of Taiwan’,FALSE
20,Putin Disguises Forced Deportation of Ukrainian Children as Compassion,FALSE
21,How Russia Uses Retired US Colonel’s Ukraine Misinformation for Domestic Propaganda,MISLEADING
22,Russia's False 'Proof' of Ukrainian Troops' ISIS Link,FALSE
23,"China, World’s Largest Captor of Journalists, Exploits Detention of Ohio Reporter",MISLEADING
24,"In Putin’s Fantasy, Assets Left by Foreign Businesses Thriving in Russian Hands",MISLEADING
25,China’s Fake History of Zero Wars Ever,FALSE
26,Putin Ally Distorts Economic Consequences of US Influence on Ukraine,MISLEADING
27,Prigozhin Questionably Calls ‘Obligations’ to Wagner’s Ex-Convict Recruits ‘Fulfilled’,MISLEADING
28,Moscow’s Misleading Claim That US is Pushing Ukraine to Invade Russia,MISLEADING
29,China’s Misleading Attempt to Pass the Spy Balloon Off as a Weather Surveyor,MISLEADING
