,0,truth_value,1
0,"Juxtaposing TikTok with Apple, Chinese Commentator Misleads on China’s Openness to Foreign Businesses",MISLEADING,meter-false
1,"Russia Unrealistically Forecasts Producing 1,500 Tanks a Year",LIKELY FALSE,meter-false
2,Prigozhin Writes to Secretary Blinken with False Claims About Wagner Group in Africa,FALSE,meter-false
3,Putin Falsely Claims Russia Guided by the UN Charter,FALSE,meter-false
4,"Once Again, Iran’s Supreme Leader Falsely Pins Russia’s Ukraine War on U.S.",FALSE,meter-false
5,Russia’s False Arguments Against Being Called Authoritarian,FALSE,meter-false
6,Russia Twists Kirby’s Comment on Xi’s Ukraine Ceasefire,MISLEADING,meter-false
7,China Misleads on Why North Korea’s Denuclearization Failed,MISLEADING,meter-false
8,"In Buryatia, Putin Claims All of Ukraine is Russian-Speaking, Repeating a False Pretext for War",FALSE,meter-false
9,Russia Recycles Ukraine Falsehoods to Deflect War Crimes Prosecution,FALSE,meter-false
10,Russia Falsely Denies Similarities Between its Invasion of Ukraine and Nazi Germany's Invasion of Norway,FALSE,meter-false
11,Russian Ambassador Spews Falsehoods Responding to US Women of Courage Award to Ukrainian Medic,FALSE,meter-false
12,Misleading: Chinese State Media Depict Pro-Russia Rally as ‘Real Voices’ of American People,MISLEADING,meter-false
13,From Russian State Media: A Fabricated Explosion of ‘American Love for Putin’,FALSE,meter-false
14,US Arms Sales to Taiwan Do Not Break America’s Promise to China,MISLEADING,meter-false
15,"Forget the Hype, India Didn’t Favor Russia over Germany in Greeting Diplomats",MISLEADING,meter-false
16,"No, Zelenskyy Did Not Say American Sons and Daughters Will Have to Die in Ukraine",FALSE,meter-false
17,False: Russia’s Decolonization (Like All Empires Before) Leads to World Catastrophe,FALSE,meter-false
18,"Disinfo Cocktail: Russian Tank in Berlin, 2,000 Roses, and 50,000 Rally",FALSE,meter-false
19,No Joke: China Demands US Explain Fictional ‘Plan for the Destruction of Taiwan’,FALSE,meter-false
20,Putin Disguises Forced Deportation of Ukrainian Children as Compassion,FALSE,meter-false
21,How Russia Uses Retired US Colonel’s Ukraine Misinformation for Domestic Propaganda,MISLEADING,meter-false
22,Russia's False 'Proof' of Ukrainian Troops' ISIS Link,FALSE,meter-false
23,"China, World’s Largest Captor of Journalists, Exploits Detention of Ohio Reporter",MISLEADING,meter-false
24,"In Putin’s Fantasy, Assets Left by Foreign Businesses Thriving in Russian Hands",MISLEADING,meter-false
25,China’s Fake History of Zero Wars Ever,FALSE,meter-false
26,Putin Ally Distorts Economic Consequences of US Influence on Ukraine,MISLEADING,meter-false
27,Prigozhin Questionably Calls ‘Obligations’ to Wagner’s Ex-Convict Recruits ‘Fulfilled’,MISLEADING,meter-false
28,Moscow’s Misleading Claim That US is Pushing Ukraine to Invade Russia,MISLEADING,meter-false
29,China’s Misleading Attempt to Pass the Spy Balloon Off as a Weather Surveyor,MISLEADING,meter-false
30,Iran’s Suspect Denial of Drone Production Deal with Russia,LIKELY FALSE,meter-false
31,Beijing Boosts Kremlin Disinformation That US Caused War in Ukraine,FALSE,meter-false
32,Putin Falsely Claims US Has Been Occupying Germany Since WWII,FALSE,meter-false
33,China’s False Denial of Violating International Law in South China Sea,FALSE,meter-false
34,Syria Again in Denial as OPCW Blames it for Deadly 2018 Chlorine Strike,FALSE,meter-false
35,Chinese Blogger Parrots Kremlin’s Distorted Tale about Minsk Agreements,MISLEADING,meter-false
36,Russia’s Medvedev Anti-Historically Predicts Nuclear War,FALSE,meter-false
37,Lavrov's Hollow Denials of Russian Meddling in ‘Internal Affairs’,FALSE,meter-false
38,How the Taliban Lied About Education for Women,FALSE,meter-false
39,‘Putin’s Chef’ Falsely Rejects War Crimes Evidence After US Designation,LIKELY FALSE,meter-false
40,"Alluding to Holocaust, Lavrov Falsely Says US Wants to 'Annihilate' Russians",FALSE,meter-false
41,Iran’s False Defense of the Islamic Revolutionary Guard Corps,FALSE,meter-false
42,"Ahead of an Epochal Election, Cambodia Turns Courts Against Opposition",FALSE,meter-false
43,Orwellian Claims of ‘Justice’ Under China’s Grip in Hong Kong,FALSE,meter-false
44,Russia Falsifies France Pension Reform Protests as Anti-Ukraine,FALSE,meter-false
45,Moscow Tries to Diminish a Soviet Space Hero – Because He's From Ukraine,MISLEADING,meter-false
46,Russia’s Medvedev Gaslights Japanese Leader Kishida Over Nukes in Ukraine,MISLEADING,meter-false
47,Russian Orthodox Patriarch Hews to Kremlin Propaganda Line on Ukraine Identity,FALSE,meter-false
48,In Memoriam: Top Whoppers From Sidelined Chinese ‘Wolf Warrior’ Zhao Lijian,MISLEADING,meter-false
49,China’s Sharing of COVID Data is Far from ‘Open and Transparent’,MISLEADING,meter-false
50,Convicting Iran’s Hamid Nouri For War Crimes Is Not ‘Illegal’,FALSE,meter-false
51,Iran’s False Attack on France and Free Speech,FALSE,meter-false
52,China Deceptively Uses CNN’s New Year’s Eve Taiwan/Thailand Mix-up to Blast U.S.,MISLEADING,meter-false
53,Russia Exaggerates China’s Support,MISLEADING,meter-false
54,Russia’s Fantasy Revenge for Ukraine’s HIMARS Attack on Makiivka,LIKELY FALSE,meter-false
55,Forget Iran’s Lies: Al-Qaida No U.S. ‘Proxy’ in Afghanistan,FALSE,meter-false
56,Russia Accuses Estonian Prime Minister of Hitlerism,MISLEADING,meter-false
57,"Back on Twitter, Tate Boosts Homophobic Russian Ad Featuring 'Santa Putin'",MISLEADING,meter-false
58,"Denying Moscow’s Rhetoric, Lavrov Pins Nuclear Threat on West",MISLEADING,meter-false
59,Putin Exaggerated Russian Economy’s Resilience,FALSE,meter-false
60,Beijing Deflects Amid Revelations About Alleged Overseas Police Stations,MISLEADING,meter-false
61,China Misleads After Latest South China Sea Land Grab Claims,MISLEADING,meter-false
62,"Increasingly a Pariah, Russia Claims West Failed to Isolate it",MISLEADING,meter-false
63,Russia Projects Suspected War Crimes in Ukraine on European Union,FALSE,meter-false
64,Erdogan Misleads on Implications of Imamoglu’s Political Ban,MISLEADING,meter-false
65,Putin’s Fictitious Optimism About Russian Economy,FALSE,meter-false
66,China’s Ambassador to France Dredges Up Debunked US Biolab COVID-19 Conspiracy,FALSE,meter-false
67,Iran’s Embassy in China Misrepresents Case Against Footballer,MISLEADING,meter-false
68,Ex-Austrian Pol Takes EU Support for Ukraine Out of Context,MISLEADING,meter-false
69,"Fresh U.S. Sanctions, Then China Falsely Denies Repression in Tibet",FALSE,meter-false
70,"After Latvia Blocks a TV Channel, Gloating and Falsehoods From Russia",MISLEADING,meter-false
71,Russia Falsifies Its Slave- and Serf-Holding Past,FALSE,meter-false
72,"Before His Ouster, Peru’s Castillo Misled About Closing Congress",MISLEADING,meter-false
73,"Moscow Inverts Reality, Falsely Calling Strikes on Russian Bases ‘Terrorism’",FALSE,meter-false
74,"In China, Baoding’s Sick Residents Dispute Official Claim of Near Zero COVID-19",MISLEADING,meter-false
75,"Top Russian Misrepresents U.S. on Chemical Weapons, No Mention of Kremlin Poisoning Foes",FALSE,meter-false
76,Russia Falsely Blames the Famine That Killed Millions of Ukrainians on the West,FALSE,meter-false
77,The Kremlin’s False Portrayal of Wagner Mercenaries in Ukraine,FALSE,meter-false
78,Unsubstantiated: Buhari Claim That Ukraine War Feeds Arms to West Africa,UNSUBSTANTIATED,meter-false
79,Cambodia's Flimsy Cover-up for Labor Leader’s Arrest,MISLEADING,meter-false
80,False Equivalents as Beijing Tries to Defend BBC Journalist’s Arrest,FALSE,meter-false
81,"From Sputnik, a Gusher of Disinfo About Russian Crude",FALSE,meter-false
82,Russia’s Pravda.ru Falsely Labels Chinese Protests a U.S. ‘Coup’,FALSE,meter-false
83,Russian Accounts of Deadly Surrender Incident Omit a Key Fact,MISLEADING,meter-false
84,"Iran Races Toward Bomb-Grade Uranium, Drags Feet on Compliance",MISLEADING,meter-false
85,"After a Cease-Fire, Ethiopian P.M.’s Debatable Boasts About the Economy",UNCERTAIN,meter-false
86,The ‘Generous Gifts’ Russian Forces Left Behind in Kherson,FALSE,meter-false
87,How Canada Contradicts Chinese Denials of Meddling Abroad,FALSE,meter-false
88,Chinese Disinfo Falsifies Biden’s Statement on Poland Missile Strike,FALSE,meter-false
