,0,1
0,UPDATED. Provocation and Disinformation Overview,meter-false
1,FAKE: Only “pure-blooded Ukrainians” can donate blood — photo of the announcement,meter-false
2,FAKE: Soldiers of the Armed Forces of Ukraine began to create same-sex unions more often — Zaluzhnyi,meter-false
3,"FAKE: In Ukraine, the theft and homicide levels rose due to power outages",meter-false
4,MANIPULATION: Ukrainians beat two Berlin residents for speaking in russian,meter-false
5,FAKE: A quote from Paul Goebbels about the Banderites,meter-false
6,FAKE: The “Culture of good neighborliness” course for Ukrainian schoolchildren promotes gender and sexual orientation change,meter-false
7,FAKE: US research in Ukraine led to an increase in the incidence of tick-borne borreliosis in Ukraine and an increase in the number of ticks in russia,meter-false
8,"FAKE: In Chile, the law on the rights of “mutants” and genetically modified people has been approved – Ostap Stakhiv",meter-false
9,"Ahead of the World Economic Forum, a Ukrainian group transformed the former gathering space for Russian business and government leaders, who were not invited.",meter-true
10,Islamabad and Kabul are in a virtual state of war. A new approach is needed.,meter-true
11,"Volodymyr Zelensky, speaking the World Economic Forum in Davos, accused Russia of “becoming a state of war criminals.”",meter-true
12,Treason necessarily involves an active state of war -- among many other problems with Trump's rhetoric.,meter-true
13,President says Islamic extremists have created a state of “war” in the nation’s northeast.,meter-true
14,The U.N. Security Council has approved a resolution renewing an arms embargo and other sanctions imposed over violence in Sudan’s western Darfur region that began in 2004,meter-true
15,The United States and its allies are urging the U.N. Security Council to condemn North Korea’s unlawful ballistic missile launches,meter-true
16,Sudan is demanding that the U.N. Security Council immediately lift an arms embargo and other sanctions imposed during violence in the western Darfur region in 2005,meter-true
17,Blockades and embargoes have been replaced by modern economic punishments. But do they work better than their historical counterparts?,meter-true
18,"""We assess he's dead,"" Col. Steve Warren said in an email.",meter-true
19,Here’s what you need to know at the end of the day.,meter-true
20,"Also, Britain and the E.U. agree on a Northern Ireland trade deal and winter devastates Afghanistan.",meter-true
21,Treasury Secretary Janet Yellen traveled to Kyiv the day before Secretary of State Antony Blinken was to visit Central Asia in a show of American solidarity with Ukraine in its battle with Russia.,meter-true
22,Secretary of State Antony J. Blinken is making the first trip by a Biden administration cabinet official to the former Soviet republics of Central Asia.,meter-true
23,"A campaign in the Horn of Africa is now the most active element in the “forever wars” the United States has waged since the Sept. 11, 2001, attacks.",meter-true
24,The U.S. Energy Department’s report identifying the Wuhan Institute of Virology as the likely source of the coronavirus has already generated pushback in Beijing.,meter-true
25,"Settlers burned and vandalized hundreds of cars and homes in four Palestinian villages, according to Israeli rights groups and Palestinian officials, and the area braced for more violence.",meter-true
26,"Amélie Oudéa-Castéra’s first year in office brought chaos at the Champions League final and scandals in soccer and rugby. With the Paris Olympics looming, her toughest days may be ahead.",meter-true
27,We have abandoned the Syrian people to biblical devastation.,meter-true
28,DeSantis would be bad. But he would not be worse than Trump.,meter-true
