,0,1
0,Фейк: бойцы ВСУ обстреляли машину с женщиной и ребенком за русскоязычную речь,meter-false
1,"Фейк: Под Одессой организовали «концлагерь для тех, кто не хочет воевать с Россией»",meter-false
2,Фейк: Украинские центры комплектования усиленно вербуют женщин-химиков и биологов,meter-false
3,Фейк: Совбезу ООН «наплевать на страдания жителей Донбасса»,meter-false
4,"Фейк: В украинской армии избили бразильского добровольца, пытавшегося сбежать с позиции — видео",meter-false
5,Фейк: Передача Британией снарядов с ураном для ВСУ — это «ядерная эскалация и новый...,meter-false
6,Манипуляция: В ООН признали «военные преступления киевского режима в Украине»,meter-false
7,Фейк: Украинские беженцы сожгли 400-летнюю гостиницу в Англии,meter-false
8,Манипуляция: «Атеистические» украинские власти «закроют доступ к мощам святых» в Киево-Печерской Лавре,meter-false
9,Фейк: Суд в Гааге «оправдал» российскую армию,meter-false
10,Фейк: Пришедших к Зеленскому священнослужителей УПЦ МП выгнали «ложной» воздушной тревогой,meter-false
11,Манипуляция: Воздушные силы Украины заявили о  «неэффективности» МиГ-29 из Польши и Словакии,meter-false
12,"Фейк: Действия Польши только «способствуют уничтожению ВСУ», — американский «разведчик» Риттер",meter-false
13,Фейк: Российская «эвакуация» украинских детей «не является военным преступлением»,meter-false
14,Фейк: Вместо 9 мая Украина вводит новый праздник —  «Победы над Московией»,meter-false
15,«Он сам упал» – три фейка об атаке Су-27 на американский БПЛА MQ-9,meter-false
16,"Фейк: В Украине —  дефицит хлеба, из-за чего начали продавать «продукт» из черствых остатков",meter-false
17,Фейк: В США подтвердили работу «секретных биолабораторий» в Украине,meter-false
18,Манипуляция: Нацразведка США «не оставила Украине шансов» в российской войне,meter-false
19,Фейк: Украинские солдаты сожгли Коран — видео,meter-false
20,Фейк: Польские туроператоры предлагают  специальную услугу — отели «без украинцев»,meter-false
21,"Фейк: Центр комплектования в Полтаве подделал документы несовершеннолетнего, чтобы отправить его на фронт",meter-false
22,Фейк: Подаренные Киеву латвийские автомобили оказались в продаже,meter-false
23,Фейк: На храме Киево-Печерской Лавры «почернели кресты в день богослужений ПЦУ»,meter-false
24,"Фейк: Украина вырыла ров у границы с Молдовой, чтобы «остановить массовое бегство мужчин от...",meter-false
25,Фейк: Президент Байден на закрытой встрече с конгрессменами признал «непобедимость Путина»,meter-false
26,Манипуляция: МИД Украины «не верит в поставки западных самолетов» ВСУ,meter-false
27,"Фейк: К визиту Байдена в Киеве выдали распоряжение собирать людей, которые «будут скандировать о...",meter-false
28,Манипуляция: Украина довела европейскую оборону до ужасающего состояния – Foreign Affairs,meter-false
29,Фейк: Украина «отказалась от создания защитной зоны вокруг Запорожской АЭС»,meter-false
30,Манипуляция: У ВСУ нет техники для создания полноценных подразделений — Forbes,meter-false
31,Фейк: «Мы устали кормить эту свинью» – ресторан в Берлине запустил рекламу против поддержки...,meter-false
32,Фейк: Президент Латвии рассмешил Зеленского словами о победе ВСУ,meter-false
33,Фейк: Немцы «выступили против вступления Украины в НАТО»,meter-false
34,Манипуляция: Украина готова «военным путем» остановить дестабилизацию в Молдове – Данилов,meter-false
35,Фейк: Украина «делает грязную бомбу» с использованием Калифорния-252,meter-false
36,Фейк: В Израиле запретили использование украинского флага,meter-false
37,Манипуляция: Украина «проговорилась» о подготовке блокады гражданского населения Крыма,meter-false
38,Фейк: Киев отправляет на войну детей — видео,meter-false
39,"Манипуляция: Украина не сможет вернуть Крым, — экс-командующий британским контингентом в Афганистане",meter-false
40,"Фейк: Киев затрясет как Турцию, — предупреждение сейсмолога",meter-false
41,Фейк: В польской угольной шахте «Богданка» нашли могильник с телами воевавших в Украине военных,meter-false
42,Фейк: В Украине власти планируют мобилизовать работников АЭС – документ,meter-false
43,Фейк: Зеленский «призвал США отправить своих граждан воевать за Украину»,meter-false
44,Фейк: Во время встречи с Байденом в Киеве был замечен двойник Зеленского,meter-false
45,Фейк: Консульство США в Милане опубликовало пост «с флагами Украины и нацистской Германии»,meter-false
46,Фейк: В Украине увеличили возрастной порог подлежащих мобилизации до 62 лет,meter-false
47,Фейк: На немецкие танки наносят нацистские символы перед отправкой в Украину,meter-false
48,Фейк: «Вагнеровцы» уничтожили первый танк «Леопард» и его польско-немецкий экипаж,meter-false
49,Фейк: сотрудники центра комплектования в Николаеве соревнуются: выдал больше повесток —  отдыхаешь в коттедже,meter-false
50,Фейк: Воздушная тревога во время визита Джо Байдена в Киев была включена «демонстративно»,meter-false
51,Манипуляция: Байден в Польше «пообещал Украине тяжелые времена»,meter-false
52,Фейк: Украинцы стали реже смотреть ТВ из-за правительственной пропаганды – опрос,meter-false
53,Фейк: Использование русского языка в Германии возросло — за счет украинских беженцев,meter-false
54,«Украина получит ядерное оружие» и «США вторгнутся в Крым» – три фейка росСМИ о...,meter-false
55,Фейк: Украина «готовит провокацию» для «безосновательного» обвинения России в нарушении ядерной безопасности,meter-false
56,Фейк Захаровой: Макрон признался в попытках Запада сменить руководство России,meter-false
57,"Манипуляция: Байден срочно «приказал Зеленскому как можно быстрее начать наступление», — Politico",meter-false
58,Фейк: Киев и Запад виновны в минном загрязнении Украины,meter-false
59,Фейк: В морге Николаева тела украинских военных «пускают на органы» – фото,meter-false
60,"Манипуляция: В Украине хотят лишить пенсии всех, кто выехал в Россию или живет на...",meter-false
61,"Фейк: Зеленский признал, что «не планировал выполнять Минские соглашения»",meter-false
62,Фейк: Война в Украине «истощила» Европу – Бен Уоллес,meter-false
63,"Фейк: В США «раскрыли судьбу 30 тысяч наемников, воюющих за Зеленского»",meter-false
64,Фейк: Украинских танкистов в Германии попросили «не рисовать свастику и не зиговать»,meter-false
65,Видеофейк: В Харькове сгорел военкомат,meter-false
66,"Фейк: Украинское правительство «не выделяет ни копейки» для лечения посттравматического синдрома у военнослужащих, —...",meter-false
67,Манипуляция: В Киеве «хотят уничтожить» могилу и прах генерала СРСР Николая Ватутина,meter-false
68,Фейк: Землетрясение в Турции — дело рук  «тектонического оружия» США и НАТО,meter-false
69,Фейк: Американские конгрессмены выступили за передачу части Украины России – The Washington Post,meter-false
70,Фейк: В Украине рекламируют инвалидные коляски как способ избежать мобилизации,meter-false
71,Фейк: Украинское руководство «призывает к геноциду русских»,meter-false
72,Фейк: ВСУ применили запрещенное химическое оружие – видео,meter-false
73,"Фейк: Президент Зеленский заявил, что «не понимает, за что воюют украинцы»",meter-false
74,Фейк: Детские игрушки — единственная «достойная компенсация» семьям погибших украинских военнослужащих,meter-false
75,Фейк: Румыния и Молдова строят шоссе для «переброски сил НАТО к Одессе»,meter-false
76,Фейк: «У солдат ВСУ на фронте нет взаимодействия с командованием» — Politico,meter-false
77,"Манипуляция: Билл Гейтс заявил, что «самая большая опасность в ближайшие несколько лет случится из-за...",meter-false
78,Фейк: Посевная в Украине «под угрозой срыва» – так как из страны «вывезли все...,meter-false
79,"Манипуляция: Украина станет непригодной для жизни, — Foreign Affairs",meter-false
80,"Фейк: Зеленский, соболезнуя  турецкому народу, «выразил надежду что поставки помощи Украине не прекратятся»",meter-false
81,Фейк: США «вряд ли передадут Украине танки Abrams» – Financial Times,meter-false
82,Фотофейк: В Польше появились антиукраинские рекламные щиты,meter-false
83,Фейк: Украинцам в Польше и Великобритании начали выдавать повестки,meter-false
84,Манипуляция: Украина ввела санкции против Запорожской АЭС,meter-false
85,Фейк Захаровой: Военные из Евросоюза «отправлялись в Украину задолго до 2022 года»,meter-false
86,Фейк: Запад «угрожает» Грузии – из-за Украины страна попала «в мышеловку ЕС»,meter-false
87,Манипуляция: Байден «отказывается отправлять в Украину свои войска из-за гнева Путина» — Bloomberg,meter-false
88,Фейк: Приехавшие на обучение украинские военные попросили политического убежища в Германии,meter-false
89,"Фейк: Украинская армия несет «колоссальные потери», также погибли 234 инструктора из США и Великобритании...",meter-false
90,"Фейк: В Украине «светит уголовка» за общение на русском «даже на кухне», – Лавров",meter-false
91,Фейк: Украина вывозит за границу чернозем — «вместе с останками солдат Красной Армии»,meter-false
92,Фейк: В Киеве объявили о призыве добровольцев в «нацистские группировки»,meter-false
93,Фейк: Вертолет в Броварах был сбит украинской ПЗРК «Игла» – документ,meter-false
94,Фейк: Президент Зеленский призвал нанести «превентивный ядерный удар» по России,meter-false
95,Фейк: Жилой дом в Краматорске поражен украинской системой ПВО,meter-false
96,Фейк: Украина «признала причастность» к атакам на военные объекты Ирана,meter-false
97,Фейк: Вернувшихся украинских военнопленных ждет тюрьма или фронт,meter-false
98,Фейк: Украинским военнослужащим вместо зарплаты выдают «ваучеры»,meter-false
99,Фейк: В центре Берлина показывают «антивоенные ролики» – видео,meter-false
100,Манипуляция: В Украине «электричество для школ и детсадов отдали элитным курортам»,meter-false
101,"Фейк: США «колонизировали Украину ради запасов титана», – Newsweek",meter-false
102,Фейк: Украина проводит массовую мобилизацию венгров Закарпатья,meter-false
103,Манипуляция: Украина и Запад «начали подготовку к терактам в Крыму»,meter-false
104,Фейк: В детских военных лагерях Украина и западные инструкторы готовят подростков-корректировщиков,meter-false
105,Фейк: В Украине переименовали химический элемент «Московий» в «Украиний»,meter-false
106,Фейк: «Укрпочта» выпустила марки в честь дивизии СС «Галичина» в дни памяти жертв Холокоста,meter-false
107,Фотофейк: «Акция для военных и их семей»: купи два гроба и получи третий в...,meter-false
108,Манипуляция: В ООН «недовольны поставками западных танков Киеву»,meter-false
109,"Фейк: ЮНЕСКО «прогнулось под Украину», включило Одессу в список Всемирного наследия",meter-false
110,Манипуляция: Немцы вышли на «массовую демонстрацию против поставки танков Киеву»,meter-false
111,"Фейк: Западные танки не помогут ВСУ и будут уничтожены Россией, — Академия обороны Дании",meter-false
112,Фейк: Эстония «пополняет армию гимназистами» и учит детей «умирать за Украину»,meter-false
113,Фейк: Билл Гейтс назвал правительство Украины «одним из худших в мире»,meter-false
114,Фейк: В Париже прошли митинги против поставок Украине оружия – видео,meter-false
115,Фейк: Запад и Украина приближают ядерную катастрофу в мире,meter-false
116,"Фейк: Страны ЕС будут «выдавать» украинских мужчин, подлежащих мобилизации",meter-false
117,Фейк: В зоопарке Берлина висит табличка с просьбой «не кормить леопардов пустыми разговорами Зеленского»...,meter-false
118,Фейк: Танки Abrams и Leopard 2 «угрожают здоровью украинцев»,meter-false
119,Фейк: Польша отправит в Украину танки Leopard вместе с экипажами,meter-false
120,Манипуляция: Самолет-разведчик НАТО «собирает информацию для захвата западной Украины»,meter-false
121,Фейк: Украина использует АЭС как склады для оружия,meter-false
122,Манипуляция: Швейцария «отказалась» передавать Украине «незаконно замороженные» российские активы,meter-false
123,Фейк: В аэропорту Штутгарта появились плакаты с призывом к властям «не передавать Украине танки»...,meter-false
124,Манипуляция: Зеленский «признал невозможность переломить ситуацию поставками западных танков»,meter-false
125,"Фейк: Запад отправляет в Украину не только военную технику, но и живую силу, —...",meter-false
126,Фейк: В Украине «запретят называть зайца русаком» – видео,meter-false
127,Фейк: Украинцы звонят российским школьникам и просят «для проверки» оставить газ в квартире включенным,meter-false
128,Фейк: В Украине повестки уже вручают подросткам – фото,meter-false
129,Фейк: Власти Украины осушают Днепр — для переброски ВСУ на левый берег,meter-false
130,Манипуляция: Дания «пожалела об отправке своих гаубиц Caesar Украине»,meter-false
131,"Манипуляция: СБУ задержали мужчину за то, что «тот пек хлеб в оккупации»",meter-false
132,Манипуляция: Зеленский назвал ПВО самым слабым местом в обороне Украины,meter-false
133,Фейк: Запад и ВОЗ «готовят Молдову к войне» с Россией,meter-false
134,"Фейк: На польском телевидении использовали карту Польши, включающую территорию соседних областей Украины",meter-false
135,Фейк: Украина использует запрещенные мины итальянского производства – фото,meter-false
136,Фейк: В Соледаре иностранные гуманитарные организации занимались «убийствами и грабежами мирных жителей»,meter-false
137,Фейк: В Милане установили «памятник Зеленскому» – нос с дорожкой из белого порошка,meter-false
138,"Фотофейк: ВСУ разместили рекламные борды с надписью «Мама, я не хочу быть москалем!»",meter-false
139,Фейк: Новый флешмоб — беременные украинки пишут на животе «Встретимся на поле боя»,meter-false
140,Фейк: Жилой дом в Днепре «стал жертвой Вооруженных Сил Украины»,meter-false
141,"Манипуляция: В Германии заявили, что «Киев никогда не получит списанные истребители»",meter-false
142,Манипуляция: Глава Минфина Украины пожаловался на недостаточную финансовую помощь Запада,meter-false
143,"Фейк: У США «заканчиваются боеприпасы» для отправки в Украину, – CSIS",meter-false
144,"Манипуляция: Посол Украины Пристайко заявил, что «ВСУ теряют солдат направо и налево ради интересов...",meter-false
145,"Фейк: В Киев привезли парней с передовой, «срочно нужна третья негативная кровь»",meter-false
146,"Фейк: На Волыни горел храм, где «настоятель отказался переходить из МП в УПЦ КП»...",meter-false
147,Фейк: Тату-салон в Ивано-Франковске предлагает «удалять свастику за полцены»,meter-false
148,"Фейк: Западные и украинские аналитики призвали ВСУ оставить Бахмут, — WSJ",meter-false
149,Фейк: В Нидерландах «без вести пропали» 170 украинских подростков,meter-false
150,Фейк: Турция поставляет Украине кассетные боеприпасы — Foreign Policy,meter-false
151,"Манипуляция: В Японии назвали российское оружие, ставшее головной болью для США",meter-false
152,Фейк: Военные РФ ракетным ударом по Краматорску уничтожили свыше 600 солдат ВСУ,meter-false
153,Манипуляция: В Украине признали эффективность российских кибератак,meter-false
154,Фейк: Франция «передала Украине сломанные САУ Caesar» – Le Figaro,meter-false
155,Фейк: Тарифы на электричество для всех жителей Украины вырастут на 47%,meter-false
156,Фейк: СБУ рассылает сообщения с призывом явиться в «пункт подготовки и комплектования ВСУ»,meter-false
157,Фейк: На первой рождественской службе ПЦУ в Лавре были только «боевики и пресса»,meter-false
158,Манипуляция: в США отметили «успех войск России» в Украине,meter-false
159,Манипуляция: В Украине потребовали открыть второй фронт и «уничтожить Беларусь»,meter-false
160,Фейк: Украина «угрожает Германии войной» из-за танков — секретарь СНБО,meter-false
161,Фейк: Без России ЕС ждет «суровая зима и рецессия» — Глава МВФ,meter-false
162,Фейк: Армия РФ ударила по месту дислокации ВСУ на ледовой арене в Дружковке,meter-false
163,Фейк: Компания Bonduelle поздравила российских военных «подарочными наборами»,meter-false
164,"Манипуляция: Западные политики могут не рассчитывать на победу Киева, — Генсек НАТО",meter-false
165,Фейк: Зеленский пообещал отдать Крым и Донбасс «на растерзание иностранцам-русофобам»,meter-false
166,Фейк: В Швейцарии нельзя перевести деньги «на счет ВСУ»,meter-false
167,Фейк: Поляки «в панике» бегут из страны в Германию из-за военных сборов – видео,meter-false
168,Фотофейк: После артобстрела в Никополе восьмилетний мальчик Марк уже «не боится умереть»,meter-false
169,Манипуляция: Западные СМИ «остались в восторге от тактики Суровикина в зоне спецоперации»,meter-false
170,"Фейк: США «потеряли» 90% поставленного Украине вооружения, — Пентагон",meter-false
171,Фейк: Украину превращают в «полигон для экспериментов по взращиванию искусственных детей»,meter-false
172,Фейк: В Вашингтоне назвали Украину «новым Афганистаном»,meter-false
173,Фейк: Удары Украины по российским военным объектам «координирует Запад»,meter-false
174,Фейк: Украина «превратила Киев в город-призрак»,meter-false
175,Манипуляция: Король Испании «назвал Украину причиной энергокризиса в ЕС»,meter-false
176,"Фейк: В Украине будут «наказывать» тех, кто празднует Новый год по московскому времени",meter-false
177,Фейк: В Украине елки украшают игрушками со свастикой – фото,meter-false
178,Фейк: Украинские беженки в ЕС — «новое лицо европейского расизма»,meter-false
179,"Фейк: В Бердичеве инвалиды и старики, доведенные до отчаяния, жгут платежки ЖКХ, — видео",meter-false
180,Фейк: Украинские беженцы ограбили квартиру пожилой женщины в Польше – видео,meter-false
181,Фейк: Устав ООН дает России право «искоренять нацизм»,meter-false
182,Манипуляция: Купянский пенсионер «пойдет под суд за проведение футбольных матчей во время оккупации»,meter-false
183,Фейк: ВСУ обстреляли Херсон из HIMARS с целью обвинить в этом российских военных,meter-false
184,Манипуляция: Зеленскому «с намеком подарили сложенный по-похоронному флаг США»,meter-false
185,"Фейк: ЕС «скрывает свои военные преступления в Украине», создав трибунал для России",meter-false
186,Фейк: Визит Зеленского в США «демонстрирует отказ Украины» от мирных переговоров,meter-false
187,"Фейк: В Румынии сосредотачиваются войска НАТО для «поглощения Буковины, Одессы и Молдавии»",meter-false
188,Фейк: В Киеве приостановили плановые госпитализации – больницы переполнены ранеными военными,meter-false
189,Фотофейк: Зеленский передал в Конгресс США флаг Украины «с рунами СС»,meter-false
190,"Манипуляция: В Болгарии народ  — «за Россию», а власти — «на зарплате в США»",meter-false
191,Фейк: США планирует выращивать в Украине опиумный мак — The Hill,meter-false
192,Фейк: Елена Зеленская «просадила на новогодний шопинг 40 тысяч евро» во время своего делового...,meter-false
193,Манипуляция: Директора украинской сельской школы будут судить «за учебники»,meter-false
194,Видеофейк: В Словакии разгоняют антиукраинские протесты,meter-false
195,Фейк: Европейцы больше «не хотят»  поставок оружия в Украину,meter-false
196,"Манипуляция: Данилов «признал», что Киев начал активную подготовку к противостоянию с Россией еще в...",meter-false
197,Манипуляция: Боррель «не ждет утверждения нового пакета антироссийских санкций на саммите ЕС»,meter-false
198,"Манипуляция: Страны, которые голосовали в ООН против российской резолюции, поддерживают нацизм",meter-false
199,Фейк: Визит Зеленского в Бахмут – постановка,meter-false
200,Фейк: Зеленский «уничтожил» 50 тысяч женщин-военнослужащих,meter-false
201,Фейк: США «объявили войну России» из-за Крыма,meter-false
202,"Фейк: У президента Зеленского есть российское гражданство, – документ",meter-false
203,"Фейк: Залужный признал, что Суровикин «вызывает у него страх»",meter-false
204,"Фейк: В Николаеве «голод», люди замерзают",meter-false
205,Манипуляция: Британские морпехи «проводят тайные операции в Украине»,meter-false
206,Фейк: Глава МАГАТЭ «выступил против» демилитаризации Запорожской АЭС,meter-false
207,Фейк: Украинских военных награждают «нацистскими Железными крестами»,meter-false
208,Фейк: В рядах украинской армии воюют несовершеннолетние – видео,meter-false
209,Фейк: Польский доброволец сообщил о «сексуальных домогательствах со стороны командира взвода ВСУ»,meter-false
210,Фейк: Замгенсека ООН во время визита в Херсон «нарушил границы России и международное право»,meter-false
211,Фейк: В Киеве сгорел «Пункт несокрушимости» – видео,meter-false
212,Манипуляция: Глава украинской Нацполиции назвал жителей «ДНР» и «ЛНР» «главной проблемой Киева»,meter-false
213,Манипуляция: США «осудили удары Украины» по территории России,meter-false
214,Фейк: Львовская лаборатория предлагает сделать «ДНК-тест на выявление генов русского»,meter-false
215,Манипуляция: Жители Херсона «пожаловались британским СМИ на ухудшение жизни после прихода ВСУ»,meter-false
216,"Фейк: В Польше назвали Западную Украину «колонией Варшавы», — The Conversation",meter-false
217,Фейк: Польские кадровые военные возвращаются с Украины в гробах – видео,meter-false
218,"Фейк: Украинский военный зарезал жену и детей из-за батута, раскрашенного в цвета российского флага",meter-false
219,Фейк: Органы украинского беженца в Польше были «распроданы»,meter-false
220,"Манипуляция: В США признали, что им «невыгодна» победа Украины",meter-false
221,Фейк: Украина «депортирует 800 тысяч крымчан» после деоккупации Крыма,meter-false
222,Фейк: Прихожанам УПЦ МП придется «перекрещиваться» в Православной церкви Украины,meter-false
223,Фейк: В Черкасской области донорскую кровь для ВСУ берут уже у школьников,meter-false
224,"Манипуляция: Американцы «резко изменили позицию» по переговорам России и Украины, – The Washington Post",meter-false
225,Фейк: Более «тысячи польских наемников» погибло с начала войны России против Украины,meter-false
226,"Манипуляция: Большинство стран «встали на сторону Путина по Украине», – Newsweek",meter-false
227,Фейк: Украинских беженцев с помощью силы выселили из квартиры в Кракове,meter-false
228,Фейк: Украинские военные призвали предоставить «свободу региону Рожава от турецких оккупантов»,meter-false
229,Манипуляция: В Польше выявили рост заболеваемости ВИЧ «после наплыва беженцев из Украины»,meter-false
230,Манипуляция: Мужчине в Одессе дали 15 лет колонии за вывешивание флага России,meter-false
231,Фейк: Марк Цукерберг «признал» блокировку информации о сыне Байдена в Facebook по требованию ФБР,meter-false
232,Видеофейк: На польском телевидении прошли «яростные дебаты» между беженкой из Украины и местным радикалом,meter-false
233,Фейк: Украинцы «транзитом через Европу эвакуируются в Беларусь»,meter-false
234,Манипуляция: Во внешней политике Великобритания будет ориентироваться на Россию и КНР — Bloomberg,meter-false
235,"Фейк: Посольство Польши в Украине готовит опрос среди жителей западных областей о том, «хотят...",meter-false
236,Манипуляция: Украина готовила операцию по захвату Крыма к 2023 году,meter-false
237,Фейк: Российский бомбардировщик сбросил на позиции ВСУ мощную вакуумную бомбу – видео,meter-false
238,Фейк: Украина поставляла Азербайджану фосфорные боеприпасы,meter-false
239,Манипуляция: «Украинские националисты избили русскоговорящих мужчину и женщину в Берлине» — Junge Welt,meter-false
240,Манипуляция: Украина «передумала возвращать» Крым,meter-false
241,Фейк: Во время демонтажа бюста Пушкина тот «убил» житомирского активиста,meter-false
242,Фейк: Украина без света «погрузилась в Средневековье: мародеры грабят и убивают на улицах»,meter-false
243,Фейк: Признание в Европарламенте России спонсором терроризма «не имеет никаких последствий»,meter-false
244,Фейк:  Эксперты из Деминициатив и Института стратегических исследований снялись в сюжете китайского государственного телеканала...,meter-false
245,Фейк: Украина «довела Херсон до гуманитарной катастрофы»,meter-false
246,Фейк: В Украине массово мобилизируют жителей русскоязычных областей,meter-false
247,Фейк: «Украинские спецслужбы» готовили постановку с «убитыми россиянами жителями Херсона» – фото,meter-false
248,Фейк: Россия «спасает мир от ядерной катастрофы»,meter-false
249,"Фейк: Муж Урсулы фон дер Ляйен «работает в компании, принадлежащей Pfizer»",meter-false
250,"Фейк: Правительство Украины продолжает экспортировать электроэнергию за границу, несмотря на то, что «люди сидят...",meter-false
251,Фейк: Резолюция МАГАТЭ «дала Украине карт-бланш на обстрелы» ЗАЭС,meter-false
252,Видеофейк: Украинских фанатов задержали в Катаре за «пропаганду нацизма»,meter-false
253,Манипуляция: В Польше от Киева «потребовали извинений за Волынскую резню»,meter-false
254,"Фейк: В Германии «стала вирусной реклама русского кафе «Погребок», где пьют за Путина»",meter-false
255,Фотофейк: На каске украинского военного «нанесен нацистский слоган «Jedem das Seine»,meter-false
256,Фейк: Российский газ для Молдовы «оседает» в Украине,meter-false
257,Фейк: В Италии полиция начала выселять украинских беженцев с отелей,meter-false
258,"Фейк: Украинцы в Германии «перепродают вещи, которые им выдали немецкие власти»",meter-false
259,Фейк: FT написало о конфликте Залужного с Зеленским из-за «боязни конкуренции со стороны президента»,meter-false
260,"Фейк: Одесситы без света, потому что «их электроэнергию отдали Западной Украине»",meter-false
261,"Манипуляция: В Пентагоне больше не верят в военную победу Украины над Россией, – генерал...",meter-false
262,Фейк: Гаагский суд «не увязал напрямую»  крушение MH17 c Россией,meter-false
263,Фейк: Во время массированного ракетного обстрела Россией «ни один удар не был нацелен на...,meter-false
264,Фейк: «Военный из Киева изображает херсонца» в репортаже AFP,meter-false
265,Фейк: Украина строит модульный ядерный реактор «для террористических целей»,meter-false
266,Фейк: Генассамблея ООН «узаконила грабеж России»,meter-false
267,"Фейк: На саммите G20 разместили баннер с картой РФ, где были включены и временно...",meter-false
