,nc,1,claim,0,nt
0,Фейк: бойцы ВСУ обстреляли машину с женщиной и ребенком за русскоязычную речь,meter-false,Fake: AFU soldiers fired on a car with a woman and a child for speaking Russian,AFU soldiers fired on a car with a woman and a child for speaking Russian,Fake
1,"Фейк: Под Одессой организовали «концлагерь для тех, кто не хочет воевать с Россией»",meter-false,"Fake: ""A concentration camp for those who do not want to fight Russia"" was organized near Odessa","""A concentration camp for those who do not want to fight Russia"" was organized near Odessa",Fake
2,Фейк: Украинские центры комплектования усиленно вербуют женщин-химиков и биологов,meter-false,Fake: Ukrainian Recruitment Centers are heavily recruiting female chemists and biologists,Ukrainian Recruitment Centers are heavily recruiting female chemists and biologists,Fake
3,Фейк: Совбезу ООН «наплевать на страдания жителей Донбасса»,meter-false,Fake: The UN Security Council “doesn’t care about the suffering of the people of Donbass”,The UN Security Council “doesn’t care about the suffering of the people of Donbass”,Fake
4,"Фейк: В украинской армии избили бразильского добровольца, пытавшегося сбежать с позиции — видео",meter-false,Fake: Brazilian volunteer beaten up in Ukrainian army trying to escape from position - video,Brazilian volunteer beaten up in Ukrainian army trying to escape from position - video,Fake
5,Фейк: Передача Британией снарядов с ураном для ВСУ — это «ядерная эскалация и новый...,meter-false,Fake: UK transfer of uranium shells to Ukrainian Armed Forces is “nuclear escalation and new...,UK transfer of uranium shells to Ukrainian Armed Forces is “nuclear escalation and new...,Fake
6,Манипуляция: В ООН признали «военные преступления киевского режима в Украине»,meter-false,"Manipulation: The UN recognized the ""war crimes of the Kyiv regime in Ukraine""","The UN recognized the ""war crimes of the Kyiv regime in Ukraine""",Manipulation
7,Фейк: Украинские беженцы сожгли 400-летнюю гостиницу в Англии,meter-false,Fake: Ukrainian refugees burned 400-year-old hotel in England,Ukrainian refugees burned 400-year-old hotel in England,Fake
8,Манипуляция: «Атеистические» украинские власти «закроют доступ к мощам святых» в Киево-Печерской Лавре,meter-false,"Manipulation: ""Atheistic"" Ukrainian authorities will ""close access to the relics of saints"" in the Kiev-Pechersk Lavra","""Atheistic"" Ukrainian authorities will ""close access to the relics of saints"" in the Kiev-Pechersk Lavra",Manipulation
9,Фейк: Суд в Гааге «оправдал» российскую армию,meter-false,"Fake: Court in The Hague ""acquitted"" the Russian army","Court in The Hague ""acquitted"" the Russian army",Fake
10,Фейк: Пришедших к Зеленскому священнослужителей УПЦ МП выгнали «ложной» воздушной тревогой,meter-false,Fake: UOC-MP clergymen who came to Zelensky were kicked out with a “false” air raid alert,UOC-MP clergymen who came to Zelensky were kicked out with a “false” air raid alert,Fake
11,Манипуляция: Воздушные силы Украины заявили о  «неэффективности» МиГ-29 из Польши и Словакии,meter-false,"Manipulation: The Air Force of Ukraine declared the ""inefficiency"" of the MiG-29 from Poland and Slovakia","The Air Force of Ukraine declared the ""inefficiency"" of the MiG-29 from Poland and Slovakia",Manipulation
12,"Фейк: Действия Польши только «способствуют уничтожению ВСУ», — американский «разведчик» Риттер",meter-false,"Fake: Poland's actions only ""contribute to the destruction of the Armed Forces of Ukraine"" - American ""intelligence officer"" Ritter","Poland's actions only ""contribute to the destruction of the Armed Forces of Ukraine"" - American ""intelligence officer"" Ritter",Fake
13,Фейк: Российская «эвакуация» украинских детей «не является военным преступлением»,meter-false,Fake: Russian “evacuation” of Ukrainian children “is not a war crime”,Russian “evacuation” of Ukrainian children “is not a war crime”,Fake
14,Фейк: Вместо 9 мая Украина вводит новый праздник —  «Победы над Московией»,meter-false,"Fake: Instead of May 9, Ukraine introduces a new holiday - ""Victory over Muscovy""","Instead of May 9, Ukraine introduces a new holiday - ""Victory over Muscovy""",Fake
15,«Он сам упал» – три фейка об атаке Су-27 на американский БПЛА MQ-9,meter-false,“He fell himself” - three fakes about the Su-27 attack on the American MQ-9 UAV,“He fell himself” - three fakes about the Su-27 attack on the American MQ-9 UAV,meter-false
16,"Фейк: В Украине —  дефицит хлеба, из-за чего начали продавать «продукт» из черствых остатков",meter-false,"Fake: There is a shortage of bread in Ukraine, which is why they started selling a “product” from stale leftovers","There is a shortage of bread in Ukraine, which is why they started selling a “product” from stale leftovers",Fake
17,Фейк: В США подтвердили работу «секретных биолабораторий» в Украине,meter-false,"Fake: The US confirmed the work of ""secret biolaboratories"" in Ukraine","The US confirmed the work of ""secret biolaboratories"" in Ukraine",Fake
18,Манипуляция: Нацразведка США «не оставила Украине шансов» в российской войне,meter-false,"Manipulation: US National Intelligence ""left Ukraine no chance"" in the Russian war","US National Intelligence ""left Ukraine no chance"" in the Russian war",Manipulation
19,Фейк: Украинские солдаты сожгли Коран — видео,meter-false,Fake: Ukrainian soldiers burned Koran – video,Ukrainian soldiers burned Koran – video,Fake
20,Фейк: Польские туроператоры предлагают  специальную услугу — отели «без украинцев»,meter-false,Fake: Polish tour operators offer a special service – hotels “without Ukrainians”,Polish tour operators offer a special service – hotels “without Ukrainians”,Fake
21,"Фейк: Центр комплектования в Полтаве подделал документы несовершеннолетнего, чтобы отправить его на фронт",meter-false,Fake: A recruiting center in Poltava forged documents of a minor to send him to the front,A recruiting center in Poltava forged documents of a minor to send him to the front,Fake
22,Фейк: Подаренные Киеву латвийские автомобили оказались в продаже,meter-false,Fake: Latvian cars donated to Kyiv are on sale,Latvian cars donated to Kyiv are on sale,Fake
23,Фейк: На храме Киево-Печерской Лавры «почернели кресты в день богослужений ПЦУ»,meter-false,"Fake: On the Church of the Kiev-Pechersk Lavra, “crosses turned black on the day of divine services of the OCU”","On the Church of the Kiev-Pechersk Lavra, “crosses turned black on the day of divine services of the OCU”",Fake
24,"Фейк: Украина вырыла ров у границы с Молдовой, чтобы «остановить массовое бегство мужчин от...",meter-false,Fake: Ukraine dug a ditch near the border with Moldova to “stop the exodus of men from...,Ukraine dug a ditch near the border with Moldova to “stop the exodus of men from...,Fake
25,Фейк: Президент Байден на закрытой встрече с конгрессменами признал «непобедимость Путина»,meter-false,"Fake: President Biden at a closed meeting with congressmen recognized ""Putin's invincibility""","President Biden at a closed meeting with congressmen recognized ""Putin's invincibility""",Fake
26,Манипуляция: МИД Украины «не верит в поставки западных самолетов» ВСУ,meter-false,"Manipulation: Ukrainian Foreign Ministry ""does not believe in the supply of Western aircraft"" to the Ukrainian Armed Forces","Ukrainian Foreign Ministry ""does not believe in the supply of Western aircraft"" to the Ukrainian Armed Forces",Manipulation
27,"Фейк: К визиту Байдена в Киеве выдали распоряжение собирать людей, которые «будут скандировать о...",meter-false,"Fake: For Biden's visit, Kyiv issued an order to gather people who ""will chant about ...","For Biden's visit, Kyiv issued an order to gather people who ""will chant about ...",Fake
28,Манипуляция: Украина довела европейскую оборону до ужасающего состояния – Foreign Affairs,meter-false,Manipulation: Ukraine has brought European defense to a terrible state – Foreign Affairs,Ukraine has brought European defense to a terrible state – Foreign Affairs,Manipulation
29,Фейк: Украина «отказалась от создания защитной зоны вокруг Запорожской АЭС»,meter-false,Fake: Ukraine “refused to create a protective zone around the Zaporozhye NPP”,Ukraine “refused to create a protective zone around the Zaporozhye NPP”,Fake
30,Манипуляция: У ВСУ нет техники для создания полноценных подразделений — Forbes,meter-false,Manipulation: The Armed Forces of Ukraine do not have the equipment to create full-fledged units - Forbes,The Armed Forces of Ukraine do not have the equipment to create full-fledged units - Forbes,Manipulation
31,Фейк: «Мы устали кормить эту свинью» – ресторан в Берлине запустил рекламу против поддержки...,meter-false,"Fake: ""We are tired of feeding this pig"" - a restaurant in Berlin launched an ad against...","""We are tired of feeding this pig"" - a restaurant in Berlin launched an ad against...",Fake
