,0,1
0,"“The revelation of massive & widespread fraud & deception” in the 2020 election “allows for the termination of all rules, regulations, and articles, even those found in the Constitution.”",tom_ruling_pof
1,"It's not true that ""the United States was built on stolen land.""",tom_ruling_pof
2,“Chinese military convoy enters Ukraine from Russia.”,meter-false
3,“Belarus declares war on Poland.”,meter-false
4,"In 2013, under a Democratic Senate, ""a majority of the Senate voted in favor of"" gun-related legislation sponsored by Republican Sens. Chuck Grassley and Ted Cruz, “but the Democrats filibustered it.”",meter-half-true
5,UPDATED. Provocation and Disinformation Overview,meter-false
6,FAKE: Only “pure-blooded Ukrainians” can donate blood — photo of the announcement,meter-false
7,FAKE: Soldiers of the Armed Forces of Ukraine began to create same-sex unions more often — Zaluzhnyi,meter-false
8,"FAKE: In Ukraine, the theft and homicide levels rose due to power outages",meter-false
9,MANIPULATION: Ukrainians beat two Berlin residents for speaking in russian,meter-false
10,FAKE: A quote from Paul Goebbels about the Banderites,meter-false
11,FAKE: The “Culture of good neighborliness” course for Ukrainian schoolchildren promotes gender and sexual orientation change,meter-false
12,FAKE: US research in Ukraine led to an increase in the incidence of tick-borne borreliosis in Ukraine and an increase in the number of ticks in russia,meter-false
13,"FAKE: In Chile, the law on the rights of “mutants” and genetically modified people has been approved – Ostap Stakhiv",meter-false
14,"Wizardry, warfare and Wii are on the ballot as the World Video Game Hall of Fame narrows down its contenders for the class of 2023",meter-true
15,Micronesia’s president has accused China of “political warfare” in a letter to other national leaders,meter-true
16,"Russia’s invasion of Ukraine on Feb. 24, 2022, was immediate top news worldwide due to eyewitness accounts and images of missile strikes shared on television and social media. By contrast, a near-simultaneous cyberattack on satellite systems that Ukraine relied on to coordinate troop and drone movements — systems that also provided broadband service to more than 100,000 internet users in at least 13 countries across Europe and North Africa — was cloaked in mystery for weeks, and to this day Russ",meter-true
17,"Russia’s invasion of Ukraine on Feb. 24, 2022, was immediate top news worldwide due to eyewitness accounts and images of missile strikes shared on television and social media. By contrast, a near-simultaneous cyberattack on satellite systems that Ukraine relied on to coordinate troop and drone movements — systems that also provided broadband service to more than 100,000 internet users in at least 13 countries across Europe and North Africa — was cloaked in mystery for weeks, and to this day Russ",meter-true
18,China says U_S_ accusations that a downed Chinese balloon was part of an extensive surveillance program amount to “information warfare against China.”,meter-true
19,Ukraine soon will embrace the United States' powerful joint combined-arms capability that the Marine Corps has abandoned.,meter-true
20,"For Elon Musk, the ""Triggering"" is the point.",meter-true
21,We don't know what will happen Tuesday. But we know how the Democrats got here.,meter-true
22,There are 49 guns to unlock across 18 platforms in “Modern Warfare 2.” We’ve got tips to help you level up quickly and strategically.,meter-true
23,"“Modern Warfare 2” adds new mechanics, gunsmith options, game modes and polish. It has also removed some controversial mechanics, chiefly slide-canceling.",meter-true
24,"A month into the campaign, Russian forces have barely budged despite forays by small units in fields, pine forests and ruined towns.",meter-true
25,A Chinese invasion of Taiwan may include a multipronged war strategy that causes havoc in American society.,meter-true
26,"Treasury Secretary Janet L. Yellen urged her counterparts at a summit in India to condemn Russia’s actions, and she defended the cost of supplying aid to Kyiv.",meter-true
27,“Babylon Berlin” is the TV show I can’t stop thinking about.,meter-true
28,Addresses by President Biden and Vladimir Putin.,meter-true
29,"Taras and Olha Melster signed up to help the war effort. Like many other urban professionals in Ukraine, they never expected to be sent to the front line.",meter-true
30,"Ukrainians will survive the Russian Federation, just as we survived the Soviet Union.",meter-true
31,"When Russia invaded, recruiting officers asked no questions of the Ukrainian teacher. They handed her a rifle and 120 bullets, and assigned her to a unit expecting to fight in urban combat if the Russian Army broke into Kyiv.",meter-true
32,American officials are worried China is far along in developing military technology that operates in the unregulated high-altitude zone of “near space.”,meter-true
33,"In a blend of the old school and the new, Moscow sent balloons over Ukraine before pummeling it with high-tech weaponry.",meter-true
